node,t_fail,verdict,lead,run_lead,band_alarm,quiet_alarm,n_band,deg,max_p
0,8.1,UNMEASURABLE,,,,,0,0,
0,12.1,EARLY_WARNING,3.0,3.0,0.3333333333333333,,3,0,0.44255438446998596
1,15.1,EARLY_WARNING,6.0,6.0,1.0,,6,0,0.8793755769729614
2,40.1,STANDING_ALARM,10.0,31.0,1.0,1.0,10,0,0.6628955602645874
1,43.1,MISSED,,,0.0,0.8333333333333334,10,0,0.5802515745162964
2,175.1,EARLY_WARNING,10.0,15.0,1.0,0.4166666666666667,10,0,0.44255295395851135
