update,episode,mean_reward,actor_loss,critic_loss,entropy,approx_kl,clip_frac,adv_std,value_mean,decision_frac,lr_scale
55,220,-171.0919,0.000214,0.878850,0.3667,0.000361,0.0005,1.3382,-2.7760,0.0919,0.4600
56,224,-180.9177,-0.001943,0.912997,0.3478,0.000643,0.0025,1.3613,-2.8074,0.1016,0.4500
57,228,-189.2190,-0.002411,1.157633,0.3667,0.001245,0.0067,1.5375,-2.9885,0.0964,0.4400
58,232,-181.1250,-0.000931,1.002213,0.4497,-0.000108,0.0002,1.4153,-3.0996,0.0772,0.4300
59,236,-169.7044,-0.001962,0.856193,0.3854,-0.000283,0.0031,1.3104,-2.8832,0.0856,0.4200
60,240,-174.5370,-0.001506,0.763067,0.3577,0.000670,0.0020,1.2412,-2.7691,0.0924,0.4100
61,244,-182.0061,-0.000803,0.860022,0.3553,0.000373,0.0014,1.3261,-2.8923,0.0897,0.4000
62,248,-178.0414,-0.003751,0.952061,0.3060,0.000788,0.0086,1.3978,-3.1055,0.1084,0.3900
63,252,-162.6009,-0.000211,0.774683,0.3913,0.000078,0.0010,1.2623,-3.0408,0.0928,0.3800
64,256,-186.9110,-0.003121,0.842465,0.4036,0.000385,0.0107,1.2998,-2.9224,0.0822,0.3700
65,260,-149.8895,-0.001411,0.606833,0.3262,0.001015,0.0023,1.1244,-2.9426,0.1261,0.3600
66,264,-172.5605,-0.001448,0.648950,0.3257,0.000849,0.0014,1.1513,-2.8644,0.1117,0.3500
67,268,-163.4239,-0.002675,0.680377,0.2901,0.001752,0.0075,1.1684,-2.9018,0.1105,0.3400
68,272,-190.0323,-0.001009,1.011840,0.2870,0.001193,0.0000,1.4249,-2.8620,0.1016,0.3300
69,276,-186.7061,-0.000337,0.778459,0.2450,0.000047,0.0000,1.2486,-2.9979,0.1461,0.3200
70,280,-180.1975,-0.002116,0.806007,0.2592,0.000761,0.0008,1.2679,-3.0479,0.1285,0.3100
71,284,-163.7488,-0.000330,0.649676,0.2734,0.000559,0.0015,1.1562,-2.9865,0.1222,0.3000
72,288,-181.3086,-0.000642,0.899224,0.2461,-0.000184,0.0000,1.3220,-2.9766,0.1519,0.2900
73,292,-170.3884,-0.000902,0.706137,0.2274,-0.000087,0.0003,1.2025,-2.8435,0.1580,0.2800
74,296,-160.4172,-0.033791,0.703953,0.2241,0.000505,0.0000,1.1386,-2.6426,0.1557,0.2700
75,300,-177.1614,-0.000096,0.775186,0.2250,0.000182,0.0000,1.2436,-2.6387,0.1551,0.2600
76,304,-183.7113,-0.000622,0.854036,0.2315,0.000079,0.0000,1.3181,-2.8916,0.1408,0.2500
77,308,-184.7181,-0.000542,0.722828,0.2302,0.000205,0.0003,1.1878,-2.7629,0.1740,0.2400
78,312,-181.4542,-0.000576,0.882799,0.2370,0.000182,0.0000,1.3325,-2.8709,0.1459,0.2300
79,316,-205.0296,-0.000295,1.019200,0.2254,0.000239,0.0000,1.4163,-2.9998,0.1395,0.2200
80,320,-167.6952,0.000285,0.777771,0.2201,0.000011,0.0000,1.2540,-2.7994,0.1747,0.2100
81,324,-168.8495,0.000089,0.712418,0.2216,0.000289,0.0000,1.2115,-2.9059,0.1429,0.2000
82,328,-186.7756,-0.000278,0.879673,0.2299,0.000093,0.0000,1.3397,-3.0016,0.1538,0.1900
83,332,-177.6067,-0.000220,0.851394,0.1991,0.000131,0.0000,1.3147,-2.9854,0.1966,0.1800
84,336,-179.8347,-0.000058,0.712170,0.2593,-0.000063,0.0000,1.2064,-3.1669,0.1609,0.1700
85,340,-176.2475,0.058207,0.860072,0.2445,-0.000163,0.0001,1.2561,-3.2167,0.1759,0.1600
86,344,-181.1020,-0.000561,0.761144,0.2108,-0.000232,0.0000,1.2465,-3.1585,0.1846,0.1500
87,348,-191.8679,-0.000271,0.841909,0.2108,-0.000167,0.0000,1.3113,-3.1746,0.1866,0.1400
88,352,-195.5920,-0.050167,0.858604,0.2385,-0.000337,0.0000,1.3758,-3.2848,0.1514,0.1300
89,356,-180.4468,-0.000605,0.814347,0.2106,0.000041,0.0000,1.2913,-3.2399,0.1806,0.1200
90,360,-185.6366,-0.000527,0.626713,0.2071,0.000134,0.0000,1.1277,-3.0597,0.1810,0.1100
91,364,-172.9771,0.000170,0.664622,0.2091,-0.000054,0.0000,1.1671,-3.0523,0.1740,0.1000
92,368,-175.9034,-0.000327,0.771074,0.2087,0.000009,0.0000,1.2643,-3.3348,0.1801,0.0900
93,372,-185.2727,-0.000614,0.634239,0.2152,0.000027,0.0000,1.1360,-3.0952,0.1612,0.0800
94,376,-169.9999,-0.000352,0.702645,0.1983,0.000041,0.0000,1.2023,-3.2593,0.1954,0.0700
95,380,-162.1511,-0.000035,0.628771,0.1825,0.000022,0.0000,1.1339,-3.2406,0.1959,0.0600
96,384,-160.7019,0.000098,0.769816,0.1929,0.000051,0.0000,1.2585,-3.1229,0.2161,0.0500
97,388,-167.5152,-0.000314,0.579287,0.1841,0.000020,0.0000,1.0875,-3.1301,0.2124,0.0400
98,392,-185.3216,0.000215,0.812560,0.1860,0.000002,0.0000,1.2813,-3.0901,0.1835,0.0300
99,396,-173.3192,-0.000271,0.796780,0.1931,0.000007,0.0000,1.2702,-3.2771,0.1856,0.0200
100,400,-180.3353,0.000089,0.717996,0.1973,-0.000001,0.0000,1.2072,-3.4010,0.1896,0.0100
