episode,start_tick,reward,success_rate,lost,critical_lost,relocations,preemptive,sla,protected,energy,infeasible
94,219,2.8390,0.7500,9,4,80,80,1,5,2262.61,0
95,472,-43.6640,0.6000,14,5,92,89,2,7,1878.56,0
96,110,15.4053,0.8000,7,1,88,86,3,14,2377.73,0
97,226,-0.5620,0.7500,8,4,85,84,4,5,2193.21,1
98,38,11.3101,0.7500,7,3,85,84,1,18,2307.69,0
99,247,-14.5246,0.7000,11,5,83,83,0,6,2155.72,1
100,127,-14.6434,0.6500,9,5,81,80,3,13,2088.27,0
101,399,-46.6834,0.6250,15,7,90,88,0,6,1926.62,0
102,240,6.0494,0.7500,8,2,81,80,2,6,2172.02,1
103,384,-38.9552,0.6250,14,6,85,84,1,3,1815.81,2
104,233,-17.0772,0.7250,10,5,92,90,3,13,2176.22,0
105,294,-27.4668,0.6750,13,6,81,81,2,11,2141.77,0
106,239,-13.0194,0.7000,10,5,83,83,2,5,1992.11,0
107,429,-37.1225,0.6250,14,4,83,80,1,5,2007.14,3
108,279,-52.1091,0.6000,16,5,91,91,0,6,1988.75,1
109,417,-37.6006,0.6250,15,7,78,78,1,3,1894.87,1
110,422,-56.7658,0.5500,16,8,80,79,2,6,1889.60,1
111,293,-33.8504,0.6000,14,4,78,78,1,8,1987.46,0
112,331,-24.8971,0.6750,11,5,93,93,2,8,2105.66,2
113,454,-59.8789,0.5750,16,9,89,85,1,5,1931.16,0
114,265,-13.7600,0.7000,12,7,74,74,1,4,2190.12,1
115,254,-6.9222,0.7250,9,5,90,88,2,12,2260.21,0
116,309,-34.1620,0.6500,14,3,92,92,1,11,2110.23,1
117,122,-38.8967,0.6500,14,5,94,94,0,8,2079.40,0
118,62,-15.2733,0.7000,11,5,81,81,3,9,2321.69,0
119,235,-25.8769,0.7000,12,4,91,89,2,4,2079.62,0
120,392,-43.1383,0.6250,15,4,87,85,0,7,1864.19,4
121,267,-11.4456,0.7250,11,2,87,87,1,3,2190.20,0
122,127,-9.4194,0.6750,8,3,91,91,5,18,2202.26,2
123,353,-40.1264,0.6250,15,2,90,90,1,10,1995.74,0
124,36,13.8650,0.8250,7,1,94,94,1,12,2347.00,0
125,176,-21.4573,0.6750,13,3,79,77,0,8,1962.46,2
126,427,-59.9439,0.5500,18,6,77,75,0,5,1677.87,0
127,37,28.7039,0.8250,5,1,86,86,2,13,2310.62,0
128,433,-68.8155,0.5250,18,8,82,82,1,3,1746.13,0
129,376,-26.2244,0.6500,13,5,82,82,1,6,1920.35,2
130,275,-43.4603,0.6000,16,3,82,81,0,5,1797.05,2
131,137,0.1973,0.7500,7,5,94,94,3,18,2253.53,0
132,258,-21.3478,0.6500,12,5,77,77,1,1,1968.40,1
133,411,-45.3875,0.5750,16,3,77,77,2,5,1921.85,0
134,490,-19.2037,0.6500,12,4,78,77,2,6,1972.46,1
135,156,-25.2882,0.6500,12,4,86,85,1,9,2091.92,1
136,303,-25.4662,0.6750,13,2,88,88,0,11,2059.14,0
137,44,12.5171,0.7750,8,1,87,86,1,12,2253.97,0
138,485,-35.5765,0.6500,14,6,82,80,1,1,1954.98,2
139,323,2.3607,0.7500,10,0,81,81,2,13,2104.59,2
140,145,-10.5076,0.7000,11,5,83,83,1,9,2148.82,1
141,305,-43.6161,0.6250,15,5,85,85,0,7,1994.01,3
142,278,-12.7244,0.7000,10,4,86,86,3,7,2101.58,0
143,198,-19.5654,0.6500,11,4,84,84,1,4,2106.63,0
144,90,26.5335,0.8500,5,3,87,86,1,15,2418.63,1
145,134,-6.7101,0.7250,10,5,85,85,1,10,2199.03,1
146,258,-31.1565,0.6750,13,8,82,82,0,3,2078.06,1
147,439,-19.6356,0.6750,11,6,87,86,2,11,2040.28,0
148,450,-36.0521,0.6250,15,5,76,74,1,9,1917.81,0
149,399,-61.3245,0.5000,17,6,76,75,1,4,1765.38,0
150,172,-8.2113,0.7250,9,5,88,87,4,7,2176.04,0
151,103,1.1640,0.7500,8,3,88,88,1,16,2310.79,0
152,288,-32.1059,0.6000,12,6,82,82,4,5,2074.61,2
153,228,-7.9489,0.6750,9,5,80,79,4,6,2169.54,0
154,482,-48.1022,0.6000,16,6,82,78,1,8,1793.39,5
155,456,-15.3872,0.7250,11,6,85,80,1,10,2084.62,0
156,99,11.0297,0.8000,7,4,84,83,3,13,2281.77,2
157,194,-12.2777,0.7000,10,4,85,85,3,15,2126.65,0
158,175,-14.7808,0.6750,10,3,82,81,4,7,2171.45,0
159,208,-24.7008,0.6500,13,4,73,73,2,5,2047.91,0
160,456,-38.6317,0.6250,15,5,80,79,1,5,1869.80,2
161,202,-5.5447,0.7000,11,3,72,72,0,4,2177.50,2
162,30,20.4375,0.8000,6,2,83,82,2,11,2220.19,1
163,268,-9.6544,0.7250,11,4,84,82,0,12,2230.37,0
164,24,-14.9354,0.6750,10,3,89,89,2,15,2069.16,1
165,355,-45.7813,0.6000,15,8,81,79,1,6,2026.32,1
166,233,-16.1075,0.6750,10,5,82,78,4,7,2119.25,6
167,395,-59.8124,0.5500,17,7,76,75,1,4,1735.14,0
168,358,-36.8380,0.6250,15,4,81,81,0,3,1916.52,4
169,213,-1.8551,0.7500,10,3,86,84,2,11,2212.84,1
170,201,7.9623,0.7500,7,1,83,82,5,5,2245.61,3
171,472,-22.9850,0.6500,12,5,79,75,1,11,1868.51,1
172,66,8.3103,0.8000,7,5,88,88,3,17,2293.05,2
173,38,-1.4312,0.7500,10,3,82,82,0,10,2160.85,4
174,421,-63.8296,0.5500,18,8,81,81,0,2,1732.07,1
175,485,-33.1549,0.6250,13,4,82,80,1,7,1875.07,0
176,267,-40.0449,0.6250,15,6,73,73,2,2,1988.64,5
177,165,-1.5082,0.7250,10,3,78,78,1,8,2152.39,0
178,422,-41.4023,0.6250,15,5,82,82,1,6,1823.87,1
179,104,4.7889,0.7500,9,4,74,74,1,15,2174.66,5
180,317,-52.1326,0.6000,16,8,83,82,0,8,2050.56,0
181,303,-25.7017,0.6750,13,3,87,86,1,7,2134.22,0
182,190,-5.2823,0.7500,10,5,87,87,0,3,2173.67,2
183,39,19.0515,0.8000,6,2,82,82,5,13,2274.09,1
184,190,-11.3734,0.7250,10,6,78,77,2,5,2084.33,2
185,194,-1.7221,0.7000,10,2,76,76,1,8,2135.13,2
186,163,7.8144,0.7000,8,0,77,75,3,11,2245.67,1
187,159,-3.3720,0.7250,9,6,75,75,5,10,2126.10,2
188,279,-22.8506,0.6750,12,3,90,90,1,9,2031.06,7
189,417,-21.7332,0.6500,12,4,81,81,3,4,1987.34,1
190,33,-24.4387,0.6500,13,5,76,76,1,7,1954.48,3
191,438,-11.8099,0.7000,10,4,81,78,4,15,2041.24,1
192,313,-5.3678,0.7250,10,3,80,79,2,6,2079.41,0
193,485,-29.9190,0.6250,13,7,76,73,2,8,1922.45,2
194,42,3.7924,0.7500,8,3,84,83,2,11,2164.87,2
195,64,-14.6711,0.7000,11,4,84,84,0,8,2041.11,2
196,369,-39.0410,0.6500,14,7,84,83,3,10,2011.97,2
197,178,-6.0661,0.7500,10,6,78,78,2,9,2121.90,1
198,43,14.4903,0.8000,7,2,84,84,3,12,2228.95,1
199,369,-41.4747,0.6250,15,6,80,80,1,7,1956.21,1
200,346,-46.2063,0.6000,15,8,77,76,2,7,1881.81,2
201,402,-16.9123,0.6750,12,3,76,74,1,5,2057.46,2
202,286,-38.2235,0.6500,14,7,81,80,1,4,2006.24,4
203,17,1.0207,0.7750,9,4,83,83,0,7,2129.81,3
204,182,-15.7326,0.7000,12,5,79,79,0,6,2044.32,0
205,358,-21.4032,0.6750,13,6,75,74,0,8,1992.19,4
206,262,14.1747,0.7750,7,2,78,77,3,4,2239.86,4
207,469,-9.3515,0.7250,11,3,78,73,2,9,2055.84,2
208,15,-22.6207,0.6750,12,5,85,84,1,11,2060.36,1
209,434,-28.1480,0.6500,12,5,83,79,3,10,1853.00,3
210,341,-18.0556,0.7000,12,4,87,85,0,9,2142.22,3
211,81,6.4714,0.7500,8,4,77,76,1,10,2102.43,4
212,263,-43.3088,0.6250,14,8,84,84,1,1,1935.87,2
213,80,-10.6424,0.7250,11,4,76,76,2,12,2133.56,1
214,45,-9.3238,0.7000,10,5,78,78,2,9,2042.07,1
215,351,-22.8201,0.6750,13,3,80,79,0,11,2003.55,1
216,10,-5.7649,0.7250,9,4,79,79,3,9,1999.85,1
217,291,-24.2146,0.6750,13,4,81,80,0,12,2070.36,3
218,181,-7.2949,0.7250,11,5,73,73,0,3,2069.07,3
219,100,-11.4627,0.7500,10,5,89,89,0,18,2215.28,2
220,464,-13.4365,0.7000,10,7,78,76,3,9,1970.92,3
221,462,-33.0759,0.6750,12,9,89,84,2,14,1961.62,4
222,181,14.0811,0.8000,7,5,79,79,1,14,2234.52,0
223,480,-17.9361,0.7000,12,3,84,80,1,6,1954.76,4
224,201,-20.8431,0.6500,12,4,72,72,3,4,2060.84,6
225,220,5.9263,0.7750,8,4,81,81,2,9,2155.83,2
226,316,-13.1606,0.6750,10,5,80,77,1,8,2181.23,2
227,315,-29.9508,0.6500,14,7,74,72,1,7,2024.69,1
228,170,-5.9480,0.7250,10,5,77,77,2,10,2240.54,2
229,15,5.5104,0.7500,8,3,79,78,4,11,2193.28,4
230,209,-22.5979,0.6750,13,3,76,76,3,4,2009.33,2
231,257,-6.6509,0.7250,11,5,75,75,1,5,2224.07,3
232,54,9.5182,0.7750,8,2,84,84,1,14,2054.15,0
233,186,2.4270,0.7500,9,4,78,78,3,5,2154.49,2
234,369,-23.1295,0.6750,13,5,74,73,0,6,1975.10,4
235,87,5.3240,0.7750,9,3,79,78,2,12,2152.26,2
236,98,38.1190,0.8500,3,1,82,81,5,17,2462.35,2
237,388,-73.3818,0.5250,19,9,81,80,0,3,1797.13,0
238,261,-11.0990,0.7250,11,5,79,79,0,1,2057.54,4
239,124,-26.8908,0.6750,13,5,79,79,2,12,2101.08,2
240,33,8.2570,0.7500,8,2,79,78,1,10,2213.11,5
241,344,-30.7872,0.6750,13,6,88,86,1,8,2061.70,0
242,268,-18.5330,0.6750,12,5,74,74,2,4,2003.17,1
243,99,-22.1457,0.6500,12,3,85,84,1,15,2195.62,3
244,384,-31.8086,0.6000,13,6,76,76,2,1,1885.21,3
245,323,-68.3592,0.5500,18,6,92,91,1,6,1962.36,2
246,440,-40.2893,0.6000,16,6,69,69,1,2,1826.26,4
247,44,14.0547,0.7500,7,1,78,77,3,15,2222.48,5
248,320,-55.9533,0.5750,17,7,77,77,0,6,1868.37,3
249,112,24.0025,0.8000,6,1,81,79,2,17,2328.48,2
250,159,-8.7602,0.6750,10,3,76,76,1,9,2083.98,1
251,481,-21.4845,0.6750,12,4,80,78,1,8,1939.80,1
252,195,-13.3789,0.6250,10,5,68,67,4,6,2045.50,1
253,164,-0.0452,0.7250,10,2,76,76,1,8,2146.66,4
254,483,-1.8638,0.7250,9,3,76,71,4,15,2051.71,2
255,468,-44.1962,0.5750,15,4,81,80,1,7,1862.50,0
256,300,-29.9171,0.6500,13,7,80,80,1,5,2048.21,0
257,27,17.1629,0.8000,7,3,80,79,1,11,2196.47,1
258,190,-21.4006,0.6750,12,4,77,76,2,5,2024.00,3
259,263,3.4032,0.7500,8,4,82,82,4,4,2167.43,2
260,89,-20.3776,0.7000,12,5,81,81,1,12,2104.01,1
261,292,-17.3531,0.7000,12,5,77,74,2,9,2033.48,1
262,221,-2.2045,0.7500,10,3,80,79,1,1,2228.49,1
263,279,-13.4633,0.7000,12,4,80,80,0,6,2219.55,4
264,246,-0.3385,0.7500,9,5,83,81,0,9,2248.26,4
265,480,-32.0289,0.6500,14,5,85,81,0,8,1963.85,1
266,94,8.2688,0.7500,7,2,81,81,6,16,2201.42,1
267,148,6.8718,0.7250,7,1,79,79,5,13,2183.42,0
268,172,-10.0280,0.7250,11,5,79,78,1,10,2151.89,1
269,439,-14.9722,0.6750,11,4,79,79,2,5,2064.27,0
270,67,15.8702,0.8000,8,2,75,75,0,17,2178.14,3
271,351,-33.5065,0.6500,14,5,76,74,1,9,2042.39,6
272,381,-22.8558,0.6500,13,3,76,74,2,6,1930.06,0
273,222,-16.2678,0.6750,11,3,81,81,3,2,2050.38,2
274,333,-34.5627,0.6250,15,6,74,73,1,11,2063.27,4
275,337,-17.5345,0.7250,11,5,87,86,2,10,2097.80,2
276,112,14.7077,0.7750,6,1,82,81,4,15,2211.61,1
277,222,10.3282,0.8000,8,3,84,84,2,5,2347.53,1
278,239,-20.3993,0.6750,12,4,80,80,0,2,2026.69,1
279,359,0.9164,0.7750,8,3,92,92,3,17,2255.14,0
280,57,-1.6230,0.7250,9,4,79,77,2,8,2055.84,0
281,124,1.4648,0.7500,8,4,83,82,4,17,2183.83,0
282,301,-12.9820,0.7000,9,7,85,85,4,8,2194.58,0
283,371,-39.3810,0.5750,14,2,79,78,2,7,1831.52,3
284,404,-23.6746,0.6500,12,3,84,80,0,8,1974.48,2
285,237,-38.8689,0.6250,14,7,81,81,0,1,2013.69,3
286,266,-2.5486,0.7250,10,4,74,74,2,5,2030.18,1
287,474,-20.6677,0.6750,11,6,82,80,3,8,1995.17,3
288,57,9.9860,0.7500,7,3,81,80,3,15,2288.56,3
289,77,-18.4950,0.7000,12,5,81,81,0,12,2004.90,3
290,436,-39.1833,0.6500,14,6,86,82,0,7,1866.64,2
291,144,4.2979,0.7500,10,3,69,68,1,13,2165.90,0
292,228,12.6861,0.7750,8,2,78,78,1,4,2182.68,2
293,250,-11.1230,0.7000,10,5,84,84,2,1,2138.04,3
294,82,34.7601,0.8250,4,2,81,81,1,16,2369.68,1
295,221,-19.2887,0.6750,13,3,75,75,0,4,2026.44,2
296,18,-6.8956,0.7000,10,4,78,77,2,5,1977.99,3
297,296,-10.9533,0.7250,10,6,83,83,1,6,2085.94,3
298,53,20.7190,0.8250,6,2,87,87,1,12,2298.51,6
299,332,-43.7143,0.6250,15,5,86,85,0,10,1968.76,0
300,68,-12.5318,0.7250,10,6,85,85,2,4,2051.34,2
301,264,-7.1564,0.7250,10,4,82,82,2,5,2259.34,4
302,299,-36.5326,0.6500,14,7,77,77,1,9,2014.16,3
303,288,-19.6608,0.7000,12,5,82,80,1,8,2153.91,1
304,332,-44.8999,0.6000,15,8,77,77,0,11,2090.70,4
305,315,-13.9646,0.7000,11,4,80,80,1,11,2091.24,2
306,95,-13.9763,0.7500,10,5,92,91,3,11,2101.58,2
307,64,2.6393,0.7500,9,2,81,80,1,16,2124.33,4
308,148,-21.5103,0.6750,12,5,81,81,1,8,2132.93,3
309,64,2.3675,0.7250,8,4,76,76,3,13,2136.03,3
310,375,-53.8594,0.5750,17,5,78,77,0,6,1764.46,0
311,329,-44.0835,0.6000,16,6,79,79,0,5,2028.23,1
312,326,-10.2192,0.7000,11,3,80,75,1,13,2129.13,1
313,280,-26.9312,0.6500,13,4,80,80,1,6,2060.50,1
314,217,12.3378,0.7750,6,3,83,82,5,5,2260.07,0
315,127,15.0239,0.8000,8,3,77,76,1,15,2308.55,0
316,421,-41.3247,0.6250,15,6,82,81,1,8,1788.38,3
317,208,-33.0088,0.6500,14,6,77,75,2,7,2037.94,3
318,149,-5.5085,0.7500,10,5,83,82,2,14,2178.91,1
319,269,4.8817,0.7500,9,2,78,78,2,5,2094.48,0
320,54,-18.4144,0.7000,12,3,88,88,1,5,2082.46,0
321,186,-8.0280,0.7250,10,5,76,76,3,11,2208.66,1
322,240,-22.4824,0.6750,13,4,76,75,0,2,1939.46,1
323,129,-3.6514,0.7250,11,2,77,77,0,12,2153.33,1
324,9,2.8017,0.7500,9,1,79,78,1,14,2111.99,4
325,378,-23.3263,0.6500,12,2,82,81,3,6,1994.17,3
326,296,-33.5886,0.6500,14,3,79,79,3,10,2015.32,6
327,479,-12.2626,0.6750,10,5,77,71,3,10,2024.50,4
328,315,-16.2787,0.7000,10,5,86,85,2,9,2070.26,4
329,158,-1.6019,0.7250,10,5,70,70,3,5,2216.42,3
330,172,-12.0517,0.7250,11,4,81,81,1,5,2076.78,3
331,480,-19.1350,0.6500,11,4,82,79,2,11,2001.83,1
332,13,5.2472,0.7500,8,2,82,82,3,6,2030.07,5
333,134,-38.0390,0.6250,14,7,79,79,2,14,2148.52,1
334,137,16.6529,0.8000,7,5,78,78,3,17,2445.06,1
335,394,-38.9681,0.6250,15,6,77,76,1,7,1922.78,1
336,427,-32.5279,0.6000,13,7,74,73,2,11,1906.41,2
337,185,-6.3735,0.7000,11,5,67,66,2,6,2197.10,1
338,326,-12.5560,0.7250,10,5,87,86,4,9,2112.18,4
339,467,-24.0883,0.6750,13,7,72,71,1,3,1870.59,1
340,116,26.2764,0.8000,5,2,80,80,2,18,2381.08,1
341,300,-2.6044,0.7250,10,4,70,69,1,9,2209.80,0
342,309,-26.6491,0.6750,12,4,90,90,2,11,2037.40,2
343,480,-9.0667,0.7250,10,5,84,80,2,6,2114.42,0
344,262,-21.4175,0.6750,12,3,88,87,1,3,2032.38,1
345,169,4.7359,0.7000,8,2,76,76,2,7,2188.32,0
346,324,-40.2244,0.6250,15,5,83,83,0,8,2070.70,1
347,322,-35.9395,0.6500,14,7,80,80,0,9,1891.23,1
348,423,-22.2676,0.6750,13,2,79,79,0,7,1876.57,4
349,421,-32.6671,0.6250,14,6,75,73,1,7,1893.11,4
350,20,-17.8364,0.7250,11,6,86,84,1,10,2116.59,2
351,310,-47.2974,0.6250,15,6,86,86,2,5,1875.97,1
352,443,-11.4183,0.6750,11,4,76,74,2,7,2064.43,3
353,345,-18.2863,0.7000,12,4,82,82,1,10,2021.08,0
354,456,-36.1048,0.6250,15,5,78,76,0,4,1911.78,3
355,268,-17.0966,0.7000,11,5,77,77,3,4,1977.95,1
356,395,-35.8309,0.6250,13,3,85,84,2,9,1916.55,2
357,93,-2.3602,0.7500,10,6,76,76,0,12,2009.61,3
358,142,3.3414,0.7250,9,1,79,77,1,14,2275.34,1
359,313,-5.8096,0.7500,9,4,85,83,4,10,2107.20,1
360,234,-11.5779,0.7000,11,4,78,77,1,4,2130.06,2
361,387,-40.2350,0.6500,14,5,89,85,1,12,1856.77,2
362,204,5.6087,0.7500,9,5,72,72,2,0,2240.42,1
363,117,-9.1159,0.7250,10,6,78,78,1,17,2100.83,2
364,339,-4.9514,0.7500,10,5,84,82,0,13,2226.39,2
365,457,-46.4481,0.5750,15,4,88,88,1,7,1878.17,1
366,404,-13.9418,0.7000,11,2,82,78,3,8,1956.15,2
367,490,-17.9029,0.6750,12,4,78,74,0,3,2029.26,2
368,473,-34.9019,0.6500,14,8,76,71,0,2,1939.56,1
