update,episode,mean_reward,actor_loss,critic_loss,entropy,approx_kl,clip_frac,adv_std,value_mean,decision_frac,lr_scale,explained_var
1,8,-56.8774,-0.039269,1.599913,0.7169,0.008223,0.1025,1.1970,-0.5091,0.0392,1.0000,0.0124
2,16,-64.5496,-0.009487,0.822436,0.6915,0.005401,0.1004,1.1104,-0.4146,0.0369,0.9867,0.0540
3,24,-70.9298,-0.010132,0.737045,0.8640,0.011702,0.1365,1.1987,-0.5329,0.0376,0.9733,0.0828
4,32,-78.6980,-0.007793,0.775440,0.8510,0.003920,0.0891,1.2229,-0.6931,0.0381,0.9600,0.1426
5,40,-84.4935,-0.106892,0.800946,0.7790,-0.004817,0.0664,1.3073,-0.7657,0.0370,0.9467,0.1641
6,48,-74.6469,-0.054451,0.668053,0.7894,0.005548,0.0362,1.2232,-1.0065,0.0386,0.9333,0.2534
7,56,-74.9008,-0.009171,0.755806,0.7410,0.008690,0.1286,1.1790,-1.0361,0.0435,0.9200,0.3315
8,64,-104.9642,-0.009069,1.220960,0.6989,0.012902,0.1410,1.4700,-1.4286,0.0445,0.9067,0.2740
9,72,-85.4221,-0.007253,0.860154,0.7219,0.012974,0.1204,1.2655,-1.8670,0.0463,0.8933,0.3736
