episode,start_tick,reward,success_rate,lost,critical_lost,relocations,preemptive,sla,protected,energy,infeasible
94,219,10.0169,0.7750,8,3,81,80,1,8,2310.66,3
95,472,-36.1754,0.6250,13,5,80,78,5,5,1887.46,3
96,110,24.6644,0.8250,5,2,85,85,4,13,2328.23,2
97,226,-26.8002,0.6750,13,6,80,79,0,2,2011.21,5
98,38,2.3482,0.7500,9,1,82,82,3,10,2126.57,3
99,247,-9.1987,0.7000,10,4,78,78,2,4,2177.00,3
100,127,-6.6702,0.6750,9,4,76,76,3,13,2135.74,4
101,399,-50.2158,0.6000,16,6,81,81,1,7,1955.12,2
102,240,-6.2587,0.7500,10,4,83,83,1,3,2165.85,4
103,384,-30.3774,0.6250,13,4,85,84,1,6,2013.78,1
104,233,-43.2080,0.6000,14,8,81,81,2,0,1946.27,8
105,294,-13.7763,0.7000,12,6,72,71,0,5,2050.18,3
106,239,-14.2661,0.7000,12,3,77,77,1,2,2044.49,4
107,429,-12.2105,0.7250,11,4,80,77,4,7,2042.89,4
108,279,6.7602,0.7750,8,3,81,81,2,8,2218.91,6
109,417,-23.5506,0.6750,13,5,79,77,0,11,1870.22,3
110,422,-47.2504,0.6000,16,8,78,75,0,4,1748.27,1
111,293,-45.7453,0.6000,16,7,78,78,1,4,2105.70,4
112,331,-2.7009,0.7250,10,2,80,78,2,11,2160.01,2
113,454,-19.4652,0.7000,12,5,81,79,1,2,1848.29,4
114,265,19.3405,0.8250,6,3,83,81,5,8,2279.50,8
115,254,-2.4553,0.7500,10,5,79,79,0,7,2046.48,2
116,309,-26.5584,0.6750,12,5,85,85,1,9,2008.97,10
117,122,5.6119,0.8000,8,2,91,91,0,18,2208.66,1
118,62,-10.5520,0.7250,11,3,85,84,1,7,1997.05,1
119,235,-9.7232,0.7250,11,5,79,79,0,3,2103.54,0
120,392,-36.0224,0.6500,14,6,85,84,0,5,1874.25,2
121,267,5.0623,0.7750,8,2,87,86,1,9,2234.23,15
122,127,-25.9928,0.6250,12,6,79,78,3,11,2211.98,7
123,353,-34.1867,0.6250,14,4,80,80,0,11,1963.13,3
124,36,-18.1300,0.6500,12,5,73,73,1,5,2006.84,1
125,176,-22.2494,0.6500,12,4,82,82,2,5,2090.94,3
126,427,-35.3889,0.6250,14,5,76,73,2,6,1886.30,4
127,37,-3.7500,0.7250,9,3,88,88,1,11,2151.28,4
128,433,-17.2243,0.6750,11,4,80,79,1,10,2048.36,7
129,376,-10.3067,0.7000,12,4,71,70,0,10,2162.33,4
130,275,-54.3442,0.5750,15,8,81,79,4,4,2016.48,11
131,137,5.2283,0.7500,8,3,84,84,3,12,2264.89,3
132,258,-13.3528,0.7250,11,5,83,83,1,3,2104.32,4
133,411,-28.0366,0.6500,13,5,75,74,1,8,1888.33,3
134,490,-15.4574,0.7000,11,4,79,77,3,8,2060.35,10
