update,episode,mean_reward,actor_loss,critic_loss,entropy,approx_kl,clip_frac,adv_std,value_mean,decision_frac,lr_scale,explained_var
52,416,-8.5041,-0.000647,13.437204,0.1694,0.000206,0.0015,3.4280,0.2256,0.1943,0.3200,0.6532
53,424,-3.6288,-0.000132,9.469724,0.1837,0.000072,0.0000,2.9905,0.5082,0.1722,0.3067,0.7115
54,432,-2.7234,-0.000539,10.922085,0.1911,-0.000041,0.0000,3.0344,0.3748,0.1770,0.2933,0.6886
55,440,9.9388,0.000038,8.799771,0.1713,-0.000016,0.0000,2.7343,0.8362,0.1936,0.2800,0.7004
56,448,-4.6479,-0.055070,10.539480,0.1694,-0.000345,0.0000,3.0529,0.5297,0.1811,0.2667,0.6193
57,456,-0.2727,-0.000427,10.042606,0.1631,0.000188,0.0000,2.8989,1.1691,0.1796,0.2533,0.6284
58,464,-7.8828,0.202948,12.605620,0.1467,0.000117,0.0000,3.3330,0.9410,0.1896,0.2400,0.6586
59,472,0.9103,0.007871,8.517193,0.1596,0.000421,0.0003,2.8130,1.4141,0.1841,0.2267,0.7211
60,480,0.9734,-0.000118,10.764964,0.1668,0.000037,0.0000,3.1083,1.4024,0.1693,0.2133,0.6408
61,488,-2.0106,-0.001736,9.142366,0.1876,-0.000421,0.0005,2.9569,1.4794,0.1738,0.2000,0.7055
62,496,11.3641,-0.028176,9.092892,0.1542,0.000204,0.0000,2.7897,1.7390,0.1724,0.1867,0.6624
63,504,2.8155,0.080066,8.315272,0.1604,-0.000332,0.0000,2.8852,1.3524,0.1836,0.1733,0.7055
64,512,-6.1113,-0.039379,8.536467,0.1680,-0.006836,0.0000,2.8500,1.0115,0.1723,0.1600,0.7110
65,520,-9.8411,-0.025170,8.978218,0.1736,0.000013,0.0000,2.8959,0.5594,0.1959,0.1467,0.7441
66,528,2.0865,0.000003,8.672107,0.1903,0.000038,0.0000,2.8243,1.1026,0.1680,0.1333,0.7257
67,536,-3.1301,0.000146,9.880890,0.1694,-0.000064,0.0000,3.0073,1.0261,0.1840,0.1200,0.6652
68,544,2.0467,-0.000032,7.339661,0.1704,-0.000034,0.0000,2.7094,0.9538,0.1608,0.1067,0.7351
69,552,-1.6372,0.000148,8.131029,0.1645,-0.000025,0.0000,2.8310,1.1811,0.1784,0.0933,0.7324
70,560,-1.4659,0.046753,9.446388,0.1509,0.000259,0.0000,3.0186,1.2001,0.1786,0.0800,0.7247
71,568,4.4341,0.004197,8.587364,0.1555,-0.000057,0.0000,2.9206,1.2788,0.2038,0.0667,0.6651
72,576,12.1387,0.037342,6.261504,0.1342,0.000016,0.0000,2.4857,1.6029,0.1752,0.0533,0.7583
73,584,7.7208,0.000171,7.692428,0.1655,-0.000007,0.0000,2.7231,1.8561,0.1740,0.0400,0.6900
74,592,-3.7571,-0.065966,7.996998,0.1422,0.000120,0.0000,2.8492,1.7323,0.1755,0.0267,0.7232
75,600,12.6539,-0.031048,5.770973,0.1380,0.000008,0.0000,2.4680,1.7241,0.1767,0.0133,0.7409
