episode,start_tick,reward,success_rate,lost,critical_lost,relocations,preemptive,sla,protected,energy,infeasible
95,472,3.6506,0.6750,12,4,75,70,1,6,2104.32,4
96,110,41.1560,0.8250,6,1,84,83,2,18,2356.70,7
97,226,-1.3963,0.7000,12,7,77,76,2,3,2113.75,2
98,38,24.4825,0.8000,8,5,90,90,3,8,2283.69,0
99,247,18.2925,0.7250,9,2,83,83,2,4,2026.02,0
100,127,13.1352,0.7500,10,5,85,85,2,17,2263.89,3
101,399,-14.3806,0.6250,14,4,81,81,0,5,1939.96,4
102,240,38.4284,0.8000,7,2,76,76,2,4,2243.93,2
103,384,-18.6388,0.6250,14,3,95,93,2,8,2015.52,4
104,233,11.3428,0.7250,10,4,87,87,1,4,2128.09,4
105,294,12.5599,0.7000,11,2,76,76,1,7,2136.69,3
106,239,16.7741,0.6750,7,3,83,83,6,1,2105.20,1
107,429,23.0831,0.7500,9,2,84,82,1,11,2145.40,3
108,279,-3.8140,0.6750,13,4,80,79,2,4,1982.84,2
109,417,-2.8309,0.6500,12,4,79,79,2,7,2041.46,4
110,422,-0.3275,0.7000,12,4,84,82,2,7,1959.84,1
111,293,-7.1564,0.6750,13,4,85,85,1,5,2118.92,9
112,331,1.3480,0.7000,11,3,86,85,3,12,2109.16,2
113,454,-14.4139,0.6500,14,4,87,81,1,5,1905.27,3
114,265,27.5164,0.7750,8,3,80,80,2,2,2135.38,2
115,254,19.6527,0.7500,9,5,80,80,2,1,2163.30,1
116,309,17.8036,0.7500,10,4,85,85,0,8,2297.56,5
117,122,3.2545,0.7000,12,4,79,78,1,14,2008.18,3
118,62,21.7533,0.7750,9,4,85,85,2,7,2232.83,2
119,235,12.4487,0.7250,11,3,71,71,2,3,2130.04,4
120,392,-11.2233,0.6500,13,5,92,88,0,9,2063.45,3
121,267,20.7068,0.7500,9,4,72,72,3,4,2055.96,5
122,127,13.8263,0.7500,10,4,81,81,1,12,2179.92,6
123,353,2.5610,0.7000,11,6,81,80,3,15,2144.47,4
124,36,19.0968,0.7500,9,4,82,82,1,10,2152.84,3
125,176,26.3371,0.7500,9,1,73,72,4,6,2247.87,6
126,427,-29.7357,0.5500,14,8,79,77,2,10,1790.68,3
127,37,-1.1954,0.7000,12,6,78,78,1,7,2018.94,7
128,433,3.3381,0.6750,12,5,74,72,0,6,1852.28,6
129,376,-15.7454,0.6500,14,7,86,85,0,8,2023.11,6
130,275,1.3294,0.7000,12,5,80,80,1,3,2066.11,3
131,137,25.5971,0.7500,9,3,74,74,2,9,2270.28,9
132,258,-2.7134,0.6750,12,6,81,81,0,1,2077.61,7
133,411,-30.3146,0.6000,16,7,75,74,2,5,1902.65,4
134,490,23.3106,0.7250,8,5,70,65,1,12,2130.53,4
135,156,23.1490,0.7000,10,1,71,71,0,13,2245.17,3
136,303,6.6551,0.7250,11,6,77,75,1,10,2205.73,11
137,44,11.8568,0.7500,10,6,83,82,1,8,2160.30,1
138,485,3.7137,0.7000,12,4,77,75,0,4,1989.37,7
139,323,-10.0866,0.6750,13,7,80,79,1,10,2115.65,8
140,145,50.6138,0.8000,4,1,84,84,3,15,2373.34,11
141,305,8.3187,0.6750,9,3,86,85,3,7,2197.86,8
142,278,6.3327,0.7250,11,5,81,81,1,4,2103.24,6
143,198,18.3899,0.7000,9,3,75,74,3,7,2161.73,4
144,90,-2.0033,0.6750,12,5,75,75,1,10,2044.47,3
145,134,42.5992,0.8250,6,4,78,78,2,17,2306.86,5
146,258,18.4043,0.7000,9,3,75,75,3,2,2121.14,1
147,439,-2.4599,0.6750,13,4,74,71,2,10,1891.41,1
148,450,-7.8169,0.6500,12,7,75,72,3,10,1984.56,4
149,399,-12.3304,0.6750,13,7,83,83,1,6,1874.15,2
150,172,-6.4037,0.6500,13,4,81,81,0,6,2163.44,5
151,103,-2.4046,0.6750,13,4,77,77,0,13,2013.42,3
152,288,-12.6303,0.6500,13,7,83,82,0,6,2011.49,7
153,228,4.7451,0.7250,11,5,83,83,1,3,1953.41,3
154,482,1.9469,0.7000,12,5,76,71,0,8,1975.31,3
155,456,3.6239,0.7250,11,5,85,81,3,8,2073.64,4
156,99,6.0982,0.7250,11,4,89,88,2,14,2197.15,5
157,194,2.6718,0.7000,11,4,81,81,3,2,2116.98,3
158,175,9.6408,0.7000,11,4,76,76,2,3,2126.74,0
159,208,20.2491,0.7500,10,4,76,76,1,2,2214.61,3
160,456,0.6307,0.6750,11,4,82,79,4,11,2007.59,6
161,202,7.7050,0.7000,11,7,78,78,0,3,2199.58,1
162,30,8.9055,0.7250,11,3,86,86,0,4,2050.32,5
163,268,26.1666,0.7500,9,3,76,75,1,4,2205.72,2
164,24,34.1082,0.7750,7,3,72,71,2,12,2097.58,1
165,355,-19.1331,0.6500,14,8,77,77,1,11,1894.94,3
166,233,4.8647,0.7000,12,6,68,67,1,2,2156.71,0
167,395,-3.1284,0.6500,13,4,78,75,1,7,1997.09,1
168,358,-19.7469,0.6500,14,6,86,86,1,9,1828.16,2
169,213,15.1793,0.7250,10,4,75,75,1,3,2177.23,0
170,201,17.5673,0.7250,9,5,79,79,3,5,2161.51,1
171,472,0.6441,0.7000,12,4,79,73,2,11,1985.87,3
172,66,45.2315,0.8250,6,2,81,81,2,12,2342.33,4
173,38,25.3143,0.7500,8,3,83,82,3,13,2239.64,3
174,421,-22.5966,0.6000,15,6,81,81,0,8,1957.43,5
175,485,-4.1465,0.6750,13,5,77,73,0,9,1949.10,3
176,267,12.2406,0.7250,11,5,73,73,1,2,2131.00,2
177,165,14.4704,0.6750,10,2,76,76,2,6,2173.94,2
178,422,-24.7852,0.6250,15,6,78,75,2,3,1849.18,4
179,104,39.9277,0.7750,6,1,76,73,4,17,2206.34,5
180,317,15.6794,0.7500,9,5,85,84,4,10,2179.86,2
181,303,-13.7618,0.6750,13,9,82,81,0,9,1938.20,2
182,190,14.1999,0.7250,10,4,79,79,1,7,2159.93,2
183,39,27.2741,0.7750,9,4,77,77,0,10,2242.29,1
184,190,11.4490,0.7000,11,3,74,72,0,5,2068.09,1
185,194,8.4917,0.7250,11,5,78,78,2,3,2104.74,1
186,163,30.1916,0.7750,8,2,85,83,0,11,2191.61,2
187,159,33.9761,0.7750,7,1,81,81,2,12,2266.70,4
188,279,22.6612,0.7500,9,4,74,74,2,3,2041.82,3
189,417,-6.1776,0.6750,13,7,78,76,0,6,1887.23,0
190,33,5.1827,0.7000,11,4,83,83,1,6,2059.86,2
191,438,8.5390,0.7000,11,4,75,69,0,13,2010.85,4
192,313,-16.0511,0.6500,14,5,84,83,0,9,1969.94,0
193,485,0.3832,0.7000,12,5,84,82,0,6,1980.19,4
194,42,25.8852,0.7500,8,3,77,77,2,11,2129.15,2
195,64,14.8829,0.7250,10,4,77,76,3,13,2140.27,3
196,369,-4.2901,0.6500,13,5,75,75,0,6,2031.95,1
197,178,29.1974,0.8000,8,5,76,74,2,13,2317.31,0
198,43,6.2314,0.7250,11,5,79,79,1,8,2075.87,4
199,369,-30.7351,0.6000,16,7,85,85,0,9,1909.03,5
200,346,-17.6616,0.6250,14,7,76,75,2,8,1966.10,5
201,402,-23.2109,0.6000,16,5,73,72,0,2,1735.16,0
202,286,5.2608,0.7250,11,7,82,81,0,8,2093.74,8
203,17,13.0837,0.7000,10,4,76,75,2,9,2064.38,0
204,182,26.8583,0.7750,9,5,71,71,0,8,2215.65,1
205,358,-19.5872,0.6250,15,3,84,81,2,9,2007.81,0
206,262,-2.4264,0.6500,12,5,74,74,2,2,1956.60,1
207,469,22.9418,0.7250,9,1,75,71,1,18,2105.21,0
208,15,24.6441,0.7500,9,2,78,76,0,7,2190.20,6
209,434,-0.5903,0.6750,13,4,79,76,0,6,1882.90,3
210,341,-2.1801,0.6750,13,4,77,77,3,11,2166.99,2
211,81,47.1915,0.8250,6,2,80,80,0,22,2377.77,3
212,263,28.4788,0.7750,8,7,76,76,0,4,2253.11,3
213,80,37.7212,0.8000,7,3,79,79,1,12,2247.27,4
214,45,32.1627,0.7750,7,3,77,77,2,12,2150.27,1
215,351,1.3936,0.6750,12,2,82,80,2,13,2040.20,2
216,10,-4.0430,0.6500,13,4,70,70,1,7,1931.42,2
217,291,16.1606,0.7250,10,3,77,74,1,8,2209.50,1
218,181,10.0745,0.6500,9,3,84,84,2,4,2154.19,5
219,100,47.0557,0.8000,4,0,87,87,2,19,2236.72,5
