update,episode,mean_reward,actor_loss,critic_loss,entropy,approx_kl,clip_frac,adv_std,value_mean,decision_frac,lr_scale,explained_var
51,1632,-9.4283,-0.079999,10.939352,0.3056,0.000371,0.0060,3.1492,1.6495,0.0982,0.3333,0.6369
52,1664,-8.8830,0.066415,11.269560,0.3541,0.001297,0.0070,3.1870,2.3698,0.0983,0.3200,0.6506
53,1696,-13.6643,-0.065254,11.693310,0.3127,0.001541,0.0056,3.2882,1.8087,0.0952,0.3067,0.6636
54,1728,-9.5461,0.017541,10.860147,0.2906,0.000220,0.0050,3.1734,1.5664,0.1044,0.2933,0.6812
55,1760,-9.0522,-0.000423,10.192485,0.3460,-0.000028,0.0019,3.0454,1.1710,0.1032,0.2800,0.6611
56,1792,-17.0812,-0.000205,10.492995,0.3536,-0.000077,0.0000,3.0857,0.9209,0.1033,0.2667,0.6583
57,1824,-7.4272,0.083696,10.559363,0.3081,0.000210,0.0031,3.0816,1.3515,0.1017,0.2533,0.6631
58,1856,-15.2320,0.063427,11.110843,0.3706,0.005622,0.0079,3.1451,1.3440,0.1079,0.2400,0.6571
59,1888,-12.2333,-0.067473,9.276165,0.2695,0.000028,0.0019,3.0523,1.4799,0.1214,0.2267,0.6553
60,1920,-10.9798,0.057994,12.341507,0.2853,0.000309,0.0016,3.1711,1.8672,0.1193,0.2133,0.6459
61,1952,-4.8289,-0.054578,8.241744,0.3130,-0.000280,0.0000,2.8732,2.0523,0.1251,0.2000,0.6796
62,1984,-12.4952,-0.000319,10.173220,0.3115,0.000107,0.0000,3.0460,1.5781,0.1320,0.1867,0.6588
63,2016,-8.3703,-0.000170,9.719533,0.3081,0.000015,0.0000,3.0258,1.6611,0.1300,0.1733,0.6619
64,2048,-7.4063,-0.000262,10.193681,0.3023,0.000023,0.0000,3.0060,1.4531,0.1313,0.1600,0.6201
65,2080,-10.5755,-0.000290,9.335019,0.2959,0.000126,0.0000,2.9531,1.5439,0.1301,0.1467,0.6820
66,2112,-7.1956,0.041317,11.151945,0.3028,-0.000062,0.0000,3.1382,1.1884,0.1368,0.1333,0.5785
67,2144,-5.5365,0.031339,9.052705,0.2681,-0.000167,0.0000,2.8789,1.0060,0.1354,0.1200,0.6859
68,2176,-6.7170,-0.000216,9.194485,0.2813,-0.000009,0.0000,2.9061,1.0006,0.1415,0.1067,0.6935
69,2208,-10.6158,0.016038,10.255611,0.2764,0.000156,0.0000,3.1338,0.8279,0.1419,0.0933,0.6321
70,2240,-7.0650,0.039556,10.223063,0.2532,0.000139,0.0000,2.9446,0.9602,0.1497,0.0800,0.6501
71,2272,-4.3852,0.055386,10.434374,0.2691,-0.000137,0.0000,3.0006,0.9353,0.1450,0.0667,0.6291
72,2304,-6.4322,-0.004841,8.951841,0.2955,0.000035,0.0000,2.9048,1.1245,0.1540,0.0533,0.6801
73,2336,-7.6818,-0.021263,9.131855,0.2734,-0.000089,0.0000,2.8787,1.0554,0.1531,0.0400,0.6665
74,2368,-12.0402,0.068892,11.237290,0.3030,-0.000228,0.0000,2.9875,1.0457,0.1492,0.0267,0.6505
75,2400,-4.4836,-0.046583,9.420682,0.2659,-0.000100,0.0000,2.8730,1.0388,0.1493,0.0133,0.6822
