episode,start_tick,reward,success_rate,lost,critical_lost,relocations,preemptive,sla,protected,energy,infeasible
94,219,-8.7979,0.7000,10,5,77,77,3,5,2214.44,0
95,472,-19.8320,0.7000,12,5,83,80,1,8,2026.90,4
96,110,26.2758,0.8500,6,1,82,80,0,15,2251.84,4
97,226,-12.8000,0.6750,11,3,76,76,2,1,2183.40,2
98,38,2.6313,0.7500,8,2,87,86,2,11,2172.98,3
99,247,-19.1191,0.7000,11,8,80,80,4,3,2255.35,1
100,127,-12.6458,0.7000,10,4,85,84,3,14,2188.64,1
101,399,-58.7411,0.5750,17,9,77,76,0,5,1781.36,1
102,240,-36.2477,0.6250,15,7,78,78,0,2,2035.10,4
103,384,-37.4425,0.6500,13,6,95,94,2,12,2046.02,2
104,233,10.0543,0.7750,8,2,85,84,2,6,2255.90,3
105,294,-14.3496,0.7000,11,5,76,76,4,6,2136.75,5
106,239,-40.7133,0.6000,16,5,70,70,1,2,1820.54,0
107,429,-57.6605,0.5750,17,6,79,79,2,3,1782.20,0
108,279,19.6801,0.8000,6,2,80,77,3,14,2249.63,0
109,417,-48.7089,0.6000,16,7,74,73,2,3,1873.72,0
110,422,-66.0401,0.5500,18,7,82,82,0,6,1723.04,4
111,293,-13.4182,0.7250,11,4,82,79,2,6,2077.16,0
112,331,-33.9432,0.6250,14,3,82,82,1,6,1999.03,3
113,454,-34.2581,0.6500,14,5,83,82,0,3,1861.47,2
114,265,-5.1949,0.7000,8,5,81,79,4,5,2163.51,3
115,254,-7.4209,0.7000,11,4,76,75,1,3,2146.09,1
116,309,-4.2368,0.7250,10,2,84,82,0,12,2158.75,3
117,122,-0.6249,0.7500,9,4,80,79,2,14,2280.67,0
118,62,6.7456,0.7500,8,5,76,76,2,7,2184.80,0
119,235,0.9621,0.7500,8,4,86,86,4,6,2260.41,4
120,392,-40.2063,0.6250,15,7,80,79,0,5,1850.76,2
121,267,-9.7490,0.7250,11,4,82,81,2,7,2150.19,4
122,127,3.9304,0.7500,8,4,82,81,2,16,2265.95,2
123,353,-23.3458,0.6750,13,6,79,78,0,10,2149.35,4
124,36,5.8894,0.7750,9,4,81,81,0,7,2147.54,0
125,176,-14.6185,0.7000,10,4,86,86,3,6,2159.36,2
126,427,-31.4265,0.6250,13,4,76,74,2,4,1859.97,1
127,37,-34.4075,0.6500,13,5,86,85,1,7,1948.10,2
128,433,-33.0332,0.6500,14,7,75,73,0,5,1857.26,0
129,376,-39.5252,0.6000,15,3,80,80,1,3,1929.84,1
130,275,-0.0190,0.7250,8,4,83,82,6,8,2182.53,0
131,137,0.5165,0.7750,9,4,83,83,2,15,2289.29,2
132,258,-16.3739,0.7000,11,5,78,78,1,3,2063.76,5
133,411,-48.5698,0.5500,15,7,75,75,2,10,1775.37,2
134,490,0.7688,0.7500,9,3,82,79,2,10,2070.01,0
135,156,11.7354,0.8000,7,4,83,81,1,14,2152.82,1
136,303,-14.6559,0.6750,11,3,82,81,1,9,2168.20,1
137,44,9.9141,0.7750,7,3,87,87,2,13,2309.26,0
138,485,-28.1143,0.6750,13,8,81,79,1,4,1933.30,1
139,323,-2.9439,0.7000,9,2,86,84,4,13,2242.11,2
140,145,12.7008,0.8000,6,1,90,90,4,17,2190.87,5
141,305,-22.8268,0.6750,13,4,80,80,0,8,2123.04,3
142,278,-18.3559,0.7000,12,5,80,80,0,5,1923.97,3
143,198,-61.3897,0.5250,18,9,70,70,0,3,1899.69,1
144,90,2.0116,0.7750,9,2,84,84,1,9,2162.32,2
145,134,17.2824,0.7500,5,1,82,81,6,16,2270.02,2
146,258,-10.2310,0.7000,10,4,84,84,1,6,2203.93,0
147,439,-29.7203,0.6500,14,5,77,74,0,10,1896.51,0
148,450,-3.8813,0.7250,11,0,75,72,1,14,2004.12,3
149,399,-30.9212,0.6750,13,8,78,74,1,6,1973.87,1
150,172,-35.5255,0.6500,14,5,85,85,1,5,1959.84,3
151,103,-25.4437,0.7000,12,6,83,83,3,9,1965.97,3
152,288,-22.2592,0.7000,12,6,81,81,1,5,2079.14,2
153,228,-13.1112,0.7000,9,5,87,85,4,5,2167.15,5
154,482,-20.9871,0.6750,12,4,80,79,2,8,1912.45,0
155,456,-14.9439,0.7000,12,5,73,70,1,5,2014.67,2
156,99,7.2681,0.7250,7,3,83,81,2,22,2210.37,1
157,194,7.1457,0.7250,7,3,80,79,3,12,2148.18,1
158,175,-10.5976,0.7000,12,4,75,75,0,5,2082.24,0
159,208,-12.8192,0.7000,11,5,81,81,2,6,2221.00,2
160,456,-42.1690,0.6250,14,9,83,81,1,7,1973.38,1
161,202,8.8244,0.7750,8,4,80,80,2,5,2188.47,1
162,30,-7.9965,0.7500,10,5,84,84,1,12,2009.03,3
163,268,-22.5233,0.7000,12,4,89,87,2,4,2146.25,6
164,24,18.3458,0.7750,6,2,80,80,4,11,2231.70,4
165,355,-53.1616,0.6000,16,6,89,88,0,9,2030.91,3
166,233,-28.9440,0.6500,13,8,79,79,2,0,2104.91,3
167,395,-25.4567,0.6250,12,1,82,82,2,10,1905.03,2
168,358,-40.5660,0.6250,13,6,92,92,1,8,2019.83,8
169,213,-15.7836,0.6750,10,5,82,81,4,5,2077.70,4
170,201,-39.0826,0.6000,15,5,74,74,2,0,1968.41,1
171,472,-12.4643,0.7000,11,5,76,75,2,9,1993.68,0
172,66,19.4576,0.8250,6,2,90,90,2,20,2272.51,7
173,38,18.6767,0.7750,6,1,77,77,2,11,2162.38,0
174,421,-14.3609,0.7000,12,4,78,78,0,5,2048.67,0
175,485,-18.4892,0.7000,12,6,82,77,0,4,1968.70,6
176,267,-1.6501,0.7500,10,2,84,83,1,7,2238.48,0
177,165,-42.3198,0.6250,15,6,79,78,2,9,2001.58,1
