update,episode,mean_reward,actor_loss,critic_loss,entropy,approx_kl,clip_frac,adv_std,value_mean,decision_frac,lr_scale,explained_var
53,424,9.6676,0.013166,7.002053,0.2626,0.001062,0.0048,3.4996,4.3578,0.0994,0.3067,0.8407
54,432,8.1146,-0.069861,6.067645,0.2702,-0.001276,0.0077,3.3244,4.5964,0.1089,0.2933,0.8559
55,440,10.9621,-0.026107,6.666840,0.2994,0.002465,0.0052,3.3411,4.7316,0.0911,0.2800,0.8522
56,448,5.9084,-0.010948,6.316780,0.2987,-0.000852,0.0016,3.4146,4.7336,0.0968,0.2667,0.8618
57,456,13.8020,-0.021242,6.132154,0.2543,-0.000080,0.0000,3.3913,4.6520,0.0999,0.2533,0.8488
58,464,2.3423,-0.005566,7.563389,0.2493,-0.000139,0.0000,3.7016,4.7337,0.1033,0.2400,0.8295
59,472,10.0579,0.011461,6.005042,0.2929,-0.000273,0.0018,3.4222,5.3729,0.1035,0.2267,0.8530
60,480,9.2037,-0.075447,6.918814,0.3296,-0.000371,0.0036,3.5791,5.7051,0.0910,0.2133,0.8187
61,488,8.4745,0.000418,7.151523,0.2734,0.001069,0.0085,3.6804,5.6754,0.0992,0.2000,0.8341
62,496,13.8808,-0.095184,5.718022,0.3540,0.003839,0.0102,3.2830,6.1290,0.0843,0.1867,0.8241
63,504,16.2950,0.049369,4.481934,0.3245,0.000121,0.0003,3.0205,5.8437,0.0818,0.1733,0.8633
64,512,3.4872,-0.056252,6.171715,0.3674,0.001339,0.0001,3.6449,6.3477,0.0752,0.1600,0.8191
65,520,-1.2459,0.065430,7.021659,0.4121,-0.003282,0.0103,3.6345,5.9611,0.0787,0.1467,0.8325
66,528,2.2339,-0.000057,5.452081,0.3794,-0.000016,0.0000,3.2690,6.1483,0.0724,0.1333,0.8413
67,536,17.0830,-0.035023,5.499215,0.3450,-0.000369,0.0000,3.2093,5.9700,0.0819,0.1200,0.8479
68,544,-2.6791,-0.013240,5.349229,0.3073,0.000086,0.0000,3.2086,6.0990,0.0813,0.1067,0.8621
69,552,0.1993,-0.038301,6.707912,0.3569,-0.000300,0.0000,3.5368,6.2016,0.0810,0.0933,0.8224
70,560,7.4565,-0.000659,6.321328,0.3586,0.000221,0.0000,3.5136,6.3026,0.0740,0.0800,0.8215
71,568,11.7871,-0.000523,5.351943,0.3713,0.000516,0.0000,3.2120,6.5424,0.0765,0.0667,0.8261
72,576,25.5455,-0.021372,5.554733,0.3464,-0.000493,0.0000,3.1961,6.7456,0.0835,0.0533,0.8130
73,584,7.4936,-0.012072,4.920672,0.3590,-0.000324,0.0000,3.0093,6.7794,0.0773,0.0400,0.8423
74,592,16.9599,-0.000349,4.856163,0.3530,0.000058,0.0000,3.0333,6.8728,0.0815,0.0267,0.8531
75,600,21.9308,-0.028514,4.658429,0.3055,-0.000042,0.0000,2.9792,7.2180,0.0795,0.0133,0.8575
