update,episode,mean_reward,actor_loss,critic_loss,entropy,approx_kl,clip_frac,adv_std,value_mean,decision_frac,lr_scale,explained_var
53,424,4.9564,0.085728,6.392256,0.3931,0.002088,0.0002,3.5627,5.5408,0.0616,0.3067,0.8312
54,432,2.8645,-0.005357,6.551603,0.3712,0.005542,0.0008,3.4920,5.2617,0.0608,0.2933,0.8225
55,440,14.7179,-0.034572,5.878691,0.3407,0.002036,0.0023,3.3239,5.6373,0.0670,0.2800,0.8445
56,448,0.1279,0.006282,5.942521,0.3609,0.002596,0.0010,3.4630,5.5485,0.0621,0.2667,0.8323
57,456,18.7397,-0.077219,5.103618,0.3604,0.002221,0.0001,3.0900,6.3634,0.0626,0.2533,0.8632
58,464,1.3323,-0.097854,5.642079,0.3599,0.001398,0.0000,3.3307,5.6169,0.0633,0.2400,0.8566
59,472,8.8726,0.032464,7.015227,0.3195,-0.000874,0.0000,3.6189,5.8014,0.0638,0.2267,0.8401
60,480,2.9057,-0.000011,5.473990,0.3774,0.000381,0.0000,3.2432,6.1550,0.0597,0.2133,0.8269
61,488,3.1731,0.047701,5.375466,0.3925,-0.000148,0.0000,3.3036,5.8086,0.0608,0.2000,0.8468
62,496,1.5002,0.032569,5.161665,0.2898,0.000177,0.0000,3.2961,6.0695,0.0661,0.1867,0.8259
63,504,11.2725,-0.055956,4.452845,0.3075,0.000164,0.0000,3.0171,5.8074,0.0643,0.1733,0.8541
64,512,16.0099,0.042365,5.441096,0.3918,-0.000753,0.0000,3.1095,6.2169,0.0585,0.1600,0.8522
65,520,-9.4882,0.000648,6.826513,0.3293,0.000221,0.0000,3.7232,5.9050,0.0693,0.1467,0.8425
66,528,14.6181,0.076655,4.212926,0.2714,0.000977,0.0000,2.9452,6.4802,0.0690,0.1333,0.8897
67,536,9.8539,-0.001008,5.226876,0.3677,0.000286,0.0000,3.2294,6.4625,0.0574,0.1200,0.8500
68,544,-2.7374,-0.013221,4.680995,0.3657,0.000920,0.0000,2.9649,6.4741,0.0622,0.1067,0.8712
69,552,4.2554,-0.000443,4.906119,0.3453,0.000114,0.0000,3.1444,6.5344,0.0640,0.0933,0.8700
70,560,11.5435,-0.011741,5.458982,0.3452,-0.000027,0.0000,3.3867,6.6320,0.0662,0.0800,0.8451
71,568,20.9208,0.010965,5.203850,0.3334,0.000175,0.0000,3.2282,7.0120,0.0695,0.0667,0.8454
72,576,7.9324,0.000307,4.674388,0.3487,0.000023,0.0000,3.0715,6.8102,0.0594,0.0533,0.8535
73,584,16.5953,0.000877,4.320079,0.3500,0.000054,0.0000,2.9141,6.8463,0.0609,0.0400,0.8534
74,592,8.8782,-0.038199,4.609808,0.3426,0.000609,0.0000,3.0071,7.0099,0.0631,0.0267,0.8669
75,600,16.2325,-0.015550,3.977157,0.2965,0.000024,0.0000,2.7733,7.0059,0.0647,0.0133,0.8749
