episode,start_tick,reward,success_rate,lost,critical_lost,relocations,preemptive,sla,protected,energy,infeasible
95,472,-0.1179,0.6750,12,5,77,73,1,12,1971.26,1
96,110,17.2779,0.7500,9,3,89,89,0,16,2187.70,0
97,226,3.8093,0.7000,10,5,84,84,5,7,2167.10,3
98,38,-1.7097,0.7000,12,6,87,87,1,10,2079.24,0
99,247,-8.8782,0.6500,14,6,71,71,0,3,2095.66,4
100,127,32.5747,0.7500,7,1,79,79,3,13,2185.50,1
101,399,-4.4633,0.6750,13,5,82,82,0,6,1989.46,1
102,240,27.7060,0.8000,8,4,85,85,3,7,2229.81,3
103,384,-52.3515,0.5250,19,8,80,80,0,4,1726.50,1
104,233,23.6312,0.7500,9,1,80,79,4,13,2186.17,0
105,294,-14.9545,0.6750,13,7,89,88,2,13,2119.08,0
106,239,-4.2138,0.6750,12,4,90,90,1,7,2126.36,0
107,429,-1.9169,0.7000,12,7,83,83,1,9,2077.42,3
108,279,-21.7095,0.6000,14,5,83,82,1,3,2056.77,0
109,417,-36.5719,0.5500,17,6,75,74,0,4,1799.18,1
110,422,-18.4937,0.6250,15,5,78,77,1,5,1837.25,0
111,293,-0.6773,0.7000,12,2,94,94,0,14,2115.49,2
112,331,-23.5057,0.6250,15,7,88,87,0,10,2097.15,7
113,454,4.2698,0.7000,11,4,84,81,0,8,2028.85,2
114,265,2.8299,0.6750,12,2,87,85,1,9,2103.61,2
115,254,4.1644,0.6750,12,4,74,72,1,2,2064.47,8
116,309,-7.4402,0.6500,13,6,80,80,1,5,2073.04,3
117,122,36.4075,0.8000,7,1,83,83,4,16,2282.74,4
118,62,-11.0737,0.6750,13,7,82,82,2,8,1967.84,2
119,235,7.3183,0.7250,10,5,88,87,3,3,2065.56,2
120,392,-3.0463,0.7000,12,6,80,77,2,6,1954.71,2
121,267,5.3161,0.7000,11,4,81,79,1,9,2074.42,10
122,127,35.2226,0.7750,7,0,86,86,1,16,2164.85,4
123,353,-14.1589,0.6250,15,2,82,82,0,13,2025.85,2
124,36,16.9242,0.7500,10,4,85,83,1,14,2211.99,1
125,176,5.2703,0.7250,11,5,79,79,2,5,2047.85,2
126,427,7.2367,0.7250,11,6,85,81,0,11,2065.82,5
127,37,33.3955,0.8000,7,3,84,84,2,8,2284.22,6
128,433,9.3253,0.7250,11,4,84,79,1,8,1958.16,1
129,376,-14.6777,0.6500,14,5,88,87,0,7,2015.55,4
130,275,12.0297,0.7500,10,4,87,85,2,9,2092.13,7
131,137,24.4809,0.7750,8,3,87,87,2,12,2215.22,8
132,258,11.5794,0.7250,10,4,83,80,2,6,2159.83,3
133,411,-16.1722,0.6500,14,7,72,72,3,6,1882.75,2
134,490,-5.9507,0.6250,11,4,83,81,3,5,1940.10,11
135,156,16.1226,0.7000,9,3,79,79,3,10,2018.22,6
136,303,6.4820,0.6750,11,4,81,81,1,8,2231.92,4
137,44,19.2297,0.7250,8,3,82,82,1,6,2092.27,8
138,485,-12.2548,0.6250,14,4,78,77,0,7,1915.60,2
139,323,5.8804,0.7250,11,6,87,87,0,13,2083.76,2
140,145,21.4411,0.7000,8,2,80,80,3,9,2142.79,1
141,305,24.0432,0.7750,9,3,83,83,2,16,2176.59,0
142,278,29.6608,0.7500,8,2,78,74,1,15,2276.34,2
143,198,5.5082,0.6750,10,6,73,73,3,5,2104.38,3
144,90,10.8701,0.7500,10,5,87,87,0,8,2142.70,7
145,134,11.1900,0.6750,10,3,74,74,2,14,2110.58,2
146,258,32.3997,0.8250,7,6,80,79,2,13,2176.29,9
147,439,6.2320,0.7000,12,4,74,73,0,4,1944.18,1
148,450,-10.6750,0.6250,12,5,78,77,4,9,1798.77,4
149,399,-9.2126,0.6750,13,8,76,75,0,8,1890.53,6
150,172,15.8810,0.7000,10,5,73,73,1,7,2224.39,7
151,103,39.9644,0.8000,7,2,78,78,0,10,2305.37,6
152,288,12.6206,0.7250,10,5,78,78,1,5,2136.92,9
153,228,17.5416,0.7500,10,4,71,71,0,3,2109.54,9
154,482,3.7773,0.7000,12,5,73,69,1,8,2105.24,8
155,456,0.7742,0.6750,12,2,81,79,1,5,1892.10,10
156,99,3.3600,0.7000,11,6,84,84,2,11,2144.45,6
157,194,28.4298,0.7500,7,4,82,82,2,12,2284.16,16
158,175,29.8445,0.7500,7,2,80,79,3,7,2193.29,16
159,208,2.8465,0.6250,10,4,80,79,5,3,2174.44,3
160,456,1.7979,0.7000,12,6,72,68,1,11,1917.32,4
161,202,14.3211,0.7250,10,5,73,73,2,6,2085.98,7
162,30,40.4139,0.8250,6,2,84,84,2,9,2253.26,10
163,268,39.5698,0.8000,7,2,79,79,2,13,2257.65,4
164,24,36.4634,0.7750,7,1,80,80,2,16,2194.46,8
165,355,-21.8433,0.6250,15,7,78,77,1,12,2001.91,5
166,233,16.4636,0.7500,10,6,78,78,1,4,2099.96,16
167,395,-5.2399,0.6750,13,5,76,75,1,6,1892.05,9
168,358,16.5150,0.7500,10,5,75,72,0,9,2074.02,11
169,213,-8.8656,0.6500,13,7,80,80,0,1,2048.20,16
170,201,-5.0282,0.6750,13,6,75,75,2,3,2115.00,4
171,472,15.7900,0.7500,10,3,78,74,3,11,2047.62,16
172,66,35.5587,0.8000,7,5,76,76,1,16,2208.91,14
173,38,23.5135,0.7500,10,3,72,72,0,9,2109.01,6
174,421,0.2774,0.7000,12,5,80,79,1,9,2018.67,8
175,485,-2.8702,0.6750,12,5,77,76,3,4,1951.71,11
176,267,17.1665,0.7500,9,3,89,88,2,6,2197.10,17
177,165,17.6337,0.7250,9,5,76,76,1,6,2146.03,2
178,422,-10.3054,0.6500,14,6,64,64,2,4,1828.43,6
179,104,30.1619,0.7750,8,2,83,83,1,19,2246.90,3
180,317,14.5060,0.7500,10,5,82,81,0,11,2154.56,22
181,303,-2.3780,0.7000,12,6,81,81,0,7,2114.10,17
182,190,11.5847,0.7250,11,5,70,69,2,7,2139.53,13
183,39,47.9071,0.8500,5,2,83,82,2,19,2252.19,11
184,190,-10.0171,0.6250,13,5,76,76,2,4,2067.43,5
185,194,-0.6764,0.6750,12,5,74,74,2,4,2053.91,8
186,163,14.1441,0.7000,10,2,72,71,2,7,2056.40,4
187,159,-14.0508,0.6250,14,4,76,76,1,6,2068.63,4
188,279,30.7340,0.7750,7,3,85,82,2,10,2244.45,11
189,417,-26.4319,0.5750,15,6,77,76,3,6,1884.46,10
190,33,24.7784,0.7500,8,4,80,80,1,8,2108.66,8
191,438,-12.3075,0.6500,14,6,77,77,0,5,1887.51,5
192,313,7.0293,0.7250,10,4,83,83,4,9,2057.38,9
193,485,-1.1562,0.6750,12,4,77,77,2,5,1901.13,7
194,42,16.0784,0.7500,10,2,86,86,0,8,2117.35,19
195,64,24.4908,0.7750,8,4,82,82,3,11,2151.93,10
196,369,1.3157,0.7000,12,4,82,81,1,7,1995.40,9
197,178,7.2219,0.7000,10,5,88,88,2,8,2132.66,6
198,43,20.0581,0.7250,8,3,83,83,2,12,2127.97,9
199,369,-14.3841,0.6500,14,6,79,77,1,5,1930.24,11
200,346,-23.7229,0.6250,15,8,75,74,0,7,1956.20,21
201,402,12.4870,0.7250,11,3,75,73,2,9,2063.51,8
202,286,9.0912,0.7000,10,3,79,79,2,6,2093.70,7
203,17,23.1640,0.7500,8,3,83,82,2,6,2101.94,12
204,182,22.1058,0.7500,9,2,81,80,3,11,2247.25,11
205,358,-21.1116,0.6250,15,5,84,84,1,7,1851.13,6
206,262,18.7214,0.7250,9,1,80,80,4,3,2068.03,10
207,469,8.8630,0.7250,10,5,85,80,1,12,2032.46,16
208,15,31.2358,0.7750,7,3,83,81,2,11,2147.98,10
209,434,33.7806,0.7750,7,2,83,82,3,17,2106.57,9
210,341,-27.2153,0.6000,16,7,75,75,0,6,1922.94,1
211,81,47.6213,0.8500,5,2,86,86,1,15,2366.21,7
212,263,23.8493,0.7500,8,6,81,80,2,2,2235.35,9
213,80,22.1698,0.7750,9,6,79,78,0,11,2157.67,7
214,45,27.7378,0.7750,8,3,80,80,2,9,2237.44,10
215,351,-31.4311,0.6000,16,8,76,76,0,6,2018.94,8
216,10,25.9022,0.7750,8,1,84,84,2,14,2096.18,13
217,291,13.6532,0.7250,11,3,77,77,0,11,2224.15,11
218,181,8.0662,0.6750,10,4,76,75,4,5,2113.41,14
219,100,24.2060,0.7500,8,4,83,82,1,15,2175.16,4
220,464,-8.1007,0.6500,14,3,72,71,1,3,1895.76,9
221,462,13.2669,0.7250,10,4,76,74,2,10,1968.74,10
222,181,9.2772,0.7000,10,4,76,76,4,7,2000.68,2
223,480,-5.0737,0.6750,13,7,73,73,0,9,1877.70,15
224,201,20.6973,0.7750,9,3,74,74,5,7,2053.77,10
225,220,13.6006,0.7250,11,4,72,72,0,5,2154.41,12
226,316,3.5575,0.7000,12,5,76,76,0,6,2039.49,9
227,315,2.6219,0.6750,12,3,74,71,2,13,2196.01,4
228,170,33.1920,0.8000,7,4,74,74,4,11,2200.53,2
229,15,34.9993,0.7750,7,0,76,75,4,13,2186.33,10
230,209,29.2701,0.7500,8,1,74,73,4,4,2245.08,12
231,257,11.7378,0.7250,11,4,79,79,1,3,2120.10,10
232,54,33.6253,0.8000,8,2,84,84,1,19,2291.30,11
233,186,31.8384,0.7500,8,1,71,71,2,3,2206.44,7
234,369,-29.1273,0.6000,16,7,72,71,1,5,1999.63,10
235,87,21.5506,0.7500,9,2,84,84,1,9,2146.11,8
236,98,33.8978,0.7750,8,1,76,74,1,15,2276.37,6
237,388,-15.8818,0.6500,14,6,78,76,0,11,1958.28,7
238,261,17.8264,0.7000,8,4,76,76,6,2,2146.91,7
239,124,20.0893,0.7750,9,5,82,82,1,15,2160.43,4
240,33,38.8963,0.8250,7,3,78,78,2,16,2171.70,7
241,344,4.8336,0.7000,12,6,66,65,0,7,2055.07,5
242,268,18.2300,0.7500,10,3,78,78,0,5,2181.60,18
243,99,-13.4329,0.6250,13,6,76,76,2,9,2038.26,7
244,384,-21.9930,0.6500,14,7,85,85,0,4,1897.98,8
245,323,-19.8138,0.6000,15,5,71,71,1,7,2065.52,15
246,440,9.2935,0.6750,11,4,75,72,1,8,1995.56,7
247,44,40.3095,0.8000,6,2,86,86,1,9,2262.78,14
248,320,18.4592,0.7500,10,3,80,78,0,9,2245.63,18
249,112,33.5661,0.7750,6,3,79,79,2,16,2147.63,12
250,159,22.3944,0.7750,9,4,73,73,2,11,2103.08,8
251,481,-4.5362,0.6750,12,5,80,77,1,9,1894.03,9
252,195,25.8622,0.7500,8,3,73,72,4,9,2176.38,13
253,164,1.5717,0.6750,12,5,73,72,1,5,2117.93,13
254,483,18.3209,0.7250,10,2,73,69,1,13,2046.12,6
255,468,-8.8916,0.6500,14,5,74,71,0,4,1845.73,8
256,300,1.3439,0.7000,12,4,78,78,1,7,2003.52,25
257,27,48.4896,0.8500,6,2,76,75,1,11,2263.00,9
258,190,3.6659,0.6500,11,5,71,71,4,5,2160.16,12
259,263,12.7948,0.7250,11,5,71,71,0,2,2122.65,16
260,89,31.4220,0.7750,7,2,86,85,1,10,2248.21,7
261,292,13.2024,0.7500,10,5,80,79,2,10,2121.80,8
262,221,11.6934,0.7000,11,3,72,72,0,1,2064.81,10
263,279,7.5949,0.7250,11,6,80,80,0,4,2099.69,11
264,246,-7.2943,0.6500,13,6,70,70,1,3,2074.36,11
265,480,8.4556,0.7250,11,6,75,71,1,5,1932.82,7
266,94,35.6965,0.8250,7,3,79,79,2,16,2189.38,14
267,148,4.3347,0.6500,12,3,66,66,2,9,2056.10,11
268,172,15.0110,0.7250,11,5,70,70,1,4,2153.14,9
269,439,14.5739,0.7250,10,3,79,78,2,10,2049.07,15
270,67,33.2578,0.8000,8,5,71,71,0,12,2171.67,17
271,351,-8.8214,0.6750,13,5,78,78,1,9,1999.41,13
272,381,-11.6267,0.6500,13,7,78,74,2,8,2048.50,13
273,222,29.7456,0.7500,8,2,71,71,3,2,2180.99,13
274,333,9.7989,0.7000,11,2,75,75,2,10,2092.94,11
275,337,4.9339,0.7250,11,6,77,75,2,12,2083.55,8
276,112,6.0273,0.7000,11,3,76,76,1,13,2030.23,13
277,222,-0.3576,0.6750,12,4,76,75,1,1,2052.42,17
278,239,37.6951,0.8000,7,3,76,75,2,9,2342.84,13
279,359,16.0651,0.7500,10,3,83,82,1,13,2119.13,15
280,57,40.7605,0.8250,7,4,70,69,1,11,2307.21,13
281,124,3.7783,0.7000,12,8,68,67,1,10,2150.43,9
282,301,24.5610,0.7750,9,4,77,77,1,8,2312.12,12
283,371,-12.3057,0.6500,14,7,70,69,0,5,1952.00,13
284,404,-5.8731,0.6750,13,7,76,75,0,6,1940.69,13
285,237,7.9715,0.7000,12,3,74,74,1,2,2081.18,16
286,266,12.8715,0.7000,11,3,72,72,1,2,2180.96,13
287,474,13.7283,0.7000,10,2,76,75,2,10,2027.08,17
288,57,32.6080,0.8000,8,4,72,72,0,10,2165.64,15
289,77,43.4839,0.8000,6,2,77,77,1,14,2286.71,11
290,436,22.0767,0.7500,10,2,79,76,0,14,2095.50,7
291,144,7.5015,0.7000,11,4,70,70,3,7,2039.24,13
292,228,26.8160,0.7500,9,4,69,69,0,7,2278.35,12
293,250,29.1048,0.7750,8,4,77,76,1,5,2246.03,20
294,82,16.7793,0.7250,9,6,76,76,1,14,2204.59,11
295,221,15.8228,0.7250,10,5,69,69,1,0,2166.05,12
296,18,29.1581,0.7250,7,2,76,76,4,12,2184.45,7
297,296,26.9341,0.7250,7,4,76,76,3,7,2193.95,16
298,53,34.8387,0.8000,8,1,79,79,1,10,2278.67,11
299,332,8.5972,0.7000,10,2,81,81,4,12,1943.85,7
300,68,29.1012,0.7750,8,5,67,67,1,6,2036.17,7
301,264,-6.4997,0.6750,13,7,75,75,0,2,2022.77,19
302,299,17.6846,0.7250,9,4,79,79,1,9,2074.84,23
303,288,17.6177,0.7250,9,5,75,75,2,4,2098.16,15
304,332,-29.9977,0.6000,16,7,78,78,0,7,1842.16,19
305,315,12.7513,0.7000,9,3,85,84,4,8,2092.24,12
306,95,52.8118,0.8500,5,2,72,70,2,19,2358.72,6
307,64,44.5510,0.8250,7,2,72,71,1,11,2253.40,16
308,148,14.9858,0.7000,9,5,71,71,3,7,2075.16,8
309,64,32.5394,0.7750,8,4,72,72,0,15,2213.94,11
310,375,-4.9833,0.6500,13,3,74,74,2,8,1995.52,17
311,329,-7.1114,0.6500,13,5,81,81,1,10,2104.90,16
312,326,2.7665,0.6750,11,4,78,78,2,7,1981.77,14
313,280,8.8608,0.7250,11,7,72,71,1,4,2259.77,18
