episode,start_tick,reward,success_rate,lost,critical_lost,relocations,preemptive,sla,protected,energy,infeasible,source_artifact
234,369,-37.9393,0.575,16,9,81,80,1,7,1873.54,1,python-ai/saved_models/marl/mappo_history.csv
235,87,-0.8416,0.7,11,7,82,82,1,11,2068.59,2,python-ai/saved_models/marl/mappo_history.csv
236,98,28.5716,0.75,7,2,90,90,2,17,2186.22,0,python-ai/saved_models/marl/mappo_history.csv
237,388,-37.0412,0.55,16,7,81,79,2,4,1823.84,0,python-ai/saved_models/marl/mappo_history.csv
238,261,-0.6943,0.7,12,5,84,83,2,6,2099.93,0,python-ai/saved_models/marl/mappo_history.csv
239,124,27.3369,0.8,8,5,87,87,2,16,2265.39,1,python-ai/saved_models/marl/mappo_history.csv
240,33,45.8152,0.85,5,2,90,90,2,16,2271.42,3,python-ai/saved_models/marl/mappo_history.csv
241,344,-17.7091,0.625,14,5,83,81,0,10,1999.77,3,python-ai/saved_models/marl/mappo_history.csv
242,268,38.9002,0.8,6,2,83,83,1,6,2181.94,1,python-ai/saved_models/marl/mappo_history.csv
243,99,26.1108,0.8,8,2,88,88,3,16,2240.25,0,python-ai/saved_models/marl/mappo_history.csv
244,384,-16.2354,0.65,14,4,84,83,0,5,2027.14,1,python-ai/saved_models/marl/mappo_history.csv
245,323,8.4204,0.725,11,6,78,77,0,13,2130.81,3,python-ai/saved_models/marl/mappo_history.csv
246,440,12.6914,0.725,11,4,79,75,2,11,2170.88,3,python-ai/saved_models/marl/mappo_history.csv
247,44,35.2532,0.8,8,2,86,85,0,7,2268.95,1,python-ai/saved_models/marl/mappo_history.csv
248,320,11.0546,0.7,11,2,79,79,2,13,2213.09,4,python-ai/saved_models/marl/mappo_history.csv
249,112,35.5973,0.775,6,1,86,86,4,15,2206.32,2,python-ai/saved_models/marl/mappo_history.csv
250,159,-14.3464,0.625,13,5,90,90,2,9,2102.85,2,python-ai/saved_models/marl/mappo_history.csv
251,481,-7.4296,0.675,13,6,79,76,1,8,1958.63,0,python-ai/saved_models/marl/mappo_history.csv
