update,episode,checkpoint,checkpoint_md5,lr_scale,state_set,n_decision,n_highrisk,n_lowrisk,delta_edge,p_edge_high_risk,p_edge_low_risk,greedy_edge_high_risk,greedy_edge_low_risk,stochastic_entropy_high_risk,stochastic_entropy_all_decision,max_probability_all_decision,fraction_max_probability_gt_099_all_decision,source_artifact
8,64,R2_trajectory_u008.pth,955b074d7257471ca215314b93e43140,0.9066666666666666,UNION,74237,3592,70621,0.038282863781490095,0.3690257655399103,0.3307429017584202,0.1678730512249443,0.13678650826241487,0.6509077476656813,0.608078184968372,0.658807338687953,0.0,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
9,72,R2_trajectory_u009.pth,755a043894b1347076c7ec03b35071a6,0.8933333333333333,RANDOM,4975,216,4757,0.04257412149694839,0.3282066494079859,0.2856325279110375,0.22685185185185186,0.20117721252890478,0.6809024894363861,0.6862799218181399,0.6535928834263404,0.0,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
9,72,R2_trajectory_u009.pth,755a043894b1347076c7ec03b35071a6,0.8933333333333333,UNION,74237,3592,70621,0.03259776444800433,0.3808189306350089,0.34822116618700455,0.29816258351893093,0.2856657368204925,0.6332706012446117,0.5994065424414997,0.6681748970979529,0.0,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
10,80,R2_trajectory_u010.pth,a7458225c409998ca8326404174bd9e7,0.88,RANDOM,4975,216,4757,0.05506323729442719,0.3102244141110633,0.2551611768166361,0.18055555555555555,0.08492747529955855,0.6536101535709101,0.6501610634565035,0.6874525706552381,0.0,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
10,80,R2_trajectory_u010.pth,a7458225c409998ca8326404174bd9e7,0.88,UNION,74237,3592,70621,0.03411514461281506,0.354952758485358,0.32083761387254295,0.18624721603563474,0.14940315203692953,0.6107111446572089,0.578048150925545,0.6933545156818963,0.0,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
11,88,R2_trajectory_u011.pth,3ebcce6ea0dfe93f8827a40dc3dd417e,0.8666666666666667,RANDOM,4975,216,4757,0.08242276203218485,0.32182951109414853,0.2394067490619637,0.18055555555555555,0.08030271179314694,0.6675747599053442,0.620849283021183,0.708037027390159,0.0,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
11,88,R2_trajectory_u011.pth,3ebcce6ea0dfe93f8827a40dc3dd417e,0.8666666666666667,UNION,74237,3592,70621,0.05666013620626392,0.36234486232553703,0.3056847261192731,0.18624721603563474,0.1669758287195027,0.6201671961466141,0.5675526828579098,0.7060530192516056,0.0,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
12,96,R2_trajectory_u012.pth,d51959885bf8c62eb67ce8c6b0500058,0.8533333333333333,RANDOM,4975,216,4757,0.10749074173801976,0.3321637205641579,0.22467297882613813,0.18055555555555555,0.08030271179314694,0.6744679554950387,0.6160500973895702,0.719006340767271,0.0,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
12,96,R2_trajectory_u012.pth,d51959885bf8c62eb67ce8c6b0500058,0.8533333333333333,UNION,74237,3592,70621,0.070547370372397,0.3533428065552177,0.2827954361828207,0.18624721603563474,0.16696166862547968,0.6128099328247394,0.5467418887441573,0.7335358874873005,0.0,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
13,104,R2_trajectory_u013.pth,eed868321824c7d75e47c017e5cc5dc5,0.84,RANDOM,4975,216,4757,0.0810557454639903,0.3151452566941131,0.23408951123012278,0.2175925925925926,0.12991381122556234,0.6424896908837505,0.6221133123056503,0.7116519317555068,0.0,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
