update,episode,actor_loss,critic_loss,entropy,approx_kl,clip_frac,explained_var,decision_frac,source_artifact
1,8,-0.013741878545260988,14.670666694641113,0.8598917610943317,0.015996037574399748,0.16251909377751872,0.02676093578338623,0.03790625184774399,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json (recorded_stats)
2,16,-0.1402350390329957,18.262084102630617,0.7745659559965133,0.01440543147075377,0.04283340629190206,0.06275016069412231,0.04041009396314621,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json (recorded_stats)
3,24,-0.004500480684509966,12.881340777873993,0.6439227432012558,0.002087172041609717,0.034430590365082024,0.0852820873260498,0.04118384048342705,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json (recorded_stats)
4,32,-0.014184300135821105,16.65793685913086,0.8051797986030579,0.0017212642898590813,0.04074613619595766,0.14234566688537598,0.040268026292324066,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json (recorded_stats)
5,40,-0.16978403138928116,15.908286857604981,0.7251630127429962,-0.0017084097976718614,0.09898541942238807,0.1854957938194275,0.04409623146057129,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json (recorded_stats)
6,48,-0.003957670287491055,15.750018119812012,0.7201466932892799,0.003981520887849366,0.04392194340471178,0.21898096799850464,0.043457649648189545,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json (recorded_stats)
7,56,-0.004304437461541966,16.896347045898438,0.668055322021246,0.0028047354795530874,0.048261787509545684,0.25476735830307007,0.04859374836087227,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json (recorded_stats)
8,64,-0.012171453843620839,17.787598276138304,0.49980376958847045,0.0031754016107693795,0.03756262492388487,0.3428955078125,0.055148229002952576,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json (recorded_stats)
9,72,-0.002022118744207546,14.471318542957306,0.5647088848054409,0.0027464034778386104,0.024539682606700808,0.33853012323379517,0.05926157534122467,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json (recorded_stats)
10,80,-0.0030687867401866242,17.26371479034424,0.5515480600297451,0.0007450432093802084,0.03842694067861885,0.32794833183288574,0.06542620807886124,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json (recorded_stats)
