update,state_set,action,high_minus_low_probability,source_artifact
5,RANDOM,MIGRATE_EDGE,0.009804584877357747,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
5,RANDOM,MIGRATE_CLOUD,-0.04623725505974552,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
5,RANDOM,PREEMPT_REROUTE,-0.0018983747444409444,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
5,UNION,STAY,0.01753978651823085,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
5,UNION,MIGRATE_EDGE,-0.004109731884293311,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
5,UNION,MIGRATE_CLOUD,-0.013174306954981882,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
5,UNION,PREEMPT_REROUTE,-0.000255747402594287,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
6,RANDOM,STAY,0.04051065526782077,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
6,RANDOM,MIGRATE_EDGE,0.011044131182309347,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
6,RANDOM,MIGRATE_CLOUD,-0.049579546964010596,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
6,RANDOM,PREEMPT_REROUTE,-0.001975240296667956,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
6,UNION,STAY,0.028181179160843173,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
6,UNION,MIGRATE_EDGE,-0.014395345938966075,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
6,UNION,MIGRATE_CLOUD,-0.013519730786543886,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
6,UNION,PREEMPT_REROUTE,-0.000266102663265869,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
7,RANDOM,STAY,0.045721531608467925,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
7,RANDOM,MIGRATE_EDGE,0.02281712716609302,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
7,RANDOM,MIGRATE_CLOUD,-0.06652648068633774,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
7,RANDOM,PREEMPT_REROUTE,-0.002012179351188767,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
7,UNION,STAY,0.02131143422970383,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
7,UNION,MIGRATE_EDGE,-0.005300483386249277,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
7,UNION,MIGRATE_CLOUD,-0.015739871620944666,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
7,UNION,PREEMPT_REROUTE,-0.00027107906072145583,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
8,RANDOM,STAY,0.02751810117400022,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
8,RANDOM,MIGRATE_EDGE,0.057165392684504046,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
8,RANDOM,MIGRATE_CLOUD,-0.08284414342914104,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
8,RANDOM,PREEMPT_REROUTE,-0.001839344889169885,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
8,UNION,STAY,-0.020225449474667756,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
8,UNION,MIGRATE_EDGE,0.038282863781490095,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
8,UNION,MIGRATE_CLOUD,-0.017809620124914223,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
8,UNION,PREEMPT_REROUTE,-0.0002477949515804405,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
9,RANDOM,STAY,0.03925417139721332,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
9,RANDOM,MIGRATE_EDGE,0.04257412149694839,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
9,RANDOM,MIGRATE_CLOUD,-0.07965621990987645,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
9,RANDOM,PREEMPT_REROUTE,-0.002172068585260891,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
9,UNION,STAY,-0.013806369806506957,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
9,UNION,MIGRATE_EDGE,0.03259776444800433,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
9,UNION,MIGRATE_CLOUD,-0.018498775922564624,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
9,UNION,PREEMPT_REROUTE,-0.0002926191999571249,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
10,RANDOM,STAY,0.03691908017909773,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
10,RANDOM,MIGRATE_EDGE,0.05506323729442719,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
10,RANDOM,MIGRATE_CLOUD,-0.08947125071530862,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
10,RANDOM,PREEMPT_REROUTE,-0.002511066644412769,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
10,UNION,STAY,-0.012356171012080974,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
10,UNION,MIGRATE_EDGE,0.03411514461281506,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
10,UNION,MIGRATE_CLOUD,-0.021420685332976953,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
10,UNION,PREEMPT_REROUTE,-0.0003382887250951287,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
11,RANDOM,STAY,0.023770875396166846,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
11,RANDOM,MIGRATE_EDGE,0.08242276203218485,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
11,RANDOM,MIGRATE_CLOUD,-0.10411002617037429,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
11,RANDOM,PREEMPT_REROUTE,-0.0020836055379017124,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
11,UNION,STAY,-0.03252594825126098,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
11,UNION,MIGRATE_EDGE,0.05666013620626392,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
11,UNION,MIGRATE_CLOUD,-0.02385348812545867,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
11,UNION,PREEMPT_REROUTE,-0.0002807015347785629,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
12,RANDOM,STAY,-0.008976521081847766,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
12,RANDOM,MIGRATE_EDGE,0.10749074173801976,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
12,RANDOM,MIGRATE_CLOUD,-0.0968189444668606,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
12,RANDOM,PREEMPT_REROUTE,-0.0016952778220753072,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
12,UNION,STAY,-0.04629424567619245,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
12,UNION,MIGRATE_EDGE,0.070547370372397,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
12,UNION,MIGRATE_CLOUD,-0.0240247374824022,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
12,UNION,PREEMPT_REROUTE,-0.00022838636098645548,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
13,RANDOM,STAY,0.007812713381432967,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
