time,nodeId,type,cause,cpuAtEvent
0.10,8,DEVICE_DROPOUT,RANDOM,98.50
2.10,0,HOST_FAULT_ONSET,WEAR,50.00
12.10,3,DEVICE_DROPOUT,SCHEDULED,80.50
19.10,0,HOST_DEGRADATION_START,WEAR,50.00
20.10,5,DEVICE_SENSOR_FAULT,SCHEDULED,68.50
25.10,0,CYBER_ATTACK_START,ATTACK,0.00
28.10,2,HOST_FAULT_ONSET,WEAR,50.00
28.10,2,HOST_DEGRADATION_START,WEAR,50.00
29.10,2,HOST_CRITICAL,WEAR,50.00
29.10,2,HOST_FAILURE,WEAR,50.00
30.10,0,CYBER_ATTACK_END,ATTACK,0.00
41.10,1,DEVICE_DROPOUT,RANDOM,37.00
47.10,6,HOST_FAULT_ONSET,WEAR,50.00
47.10,6,HOST_DEGRADATION_START,WEAR,50.00
47.10,6,HOST_CRITICAL,WEAR,50.00
47.10,6,HOST_FAILURE,WEAR,50.00
48.10,0,HOST_FAILURE,WEAR,50.00
66.10,0,DEVICE_BATTERY_DEPLETED,SYSTEM,0.00
66.10,2,DEVICE_BATTERY_DEPLETED,SYSTEM,0.00
66.10,4,DEVICE_BATTERY_DEPLETED,SYSTEM,0.00
66.10,6,DEVICE_BATTERY_DEPLETED,SYSTEM,0.00
66.10,7,DEVICE_BATTERY_DEPLETED,SYSTEM,0.00
66.10,9,DEVICE_BATTERY_DEPLETED,SYSTEM,0.00
71.10,2,HOST_RECOVERED,REPAIR,30.00
85.10,6,HOST_RECOVERED,REPAIR,30.00
89.10,0,HOST_RECOVERED,REPAIR,19.05
99.10,6,HOST_FAULT_ONSET,WEAR,50.00
99.10,6,HOST_DEGRADATION_START,WEAR,50.00
112.10,0,HOST_FAULT_ONSET,WEAR,50.00
112.10,6,HOST_CRITICAL,WEAR,50.00
116.10,0,HOST_DEGRADATION_START,WEAR,50.00
120.10,1,HOST_FAULT_ONSET,WEAR,50.00
122.10,6,HOST_FAILURE,WEAR,50.00
137.10,1,HOST_DEGRADATION_START,WEAR,50.00
146.10,6,HOST_RECOVERED,REPAIR,30.00
154.10,0,HOST_CRITICAL,WEAR,50.00
176.10,7,HOST_FAULT_ONSET,WEAR,50.00
176.10,7,HOST_DEGRADATION_START,WEAR,50.00
177.10,1,HOST_CRITICAL,WEAR,50.00
177.10,7,HOST_CRITICAL,WEAR,50.00
