nodeId,time,predicted_failure_risk,prediction_uncertainty
3,25.100000,0.059833,0.000000
4,25.100000,0.049282,0.000000
5,25.100000,0.080386,0.000000
6,25.100000,0.049290,0.000000
7,25.100000,0.014557,0.000000
8,25.100000,0.059833,0.000000
9,25.100000,0.059833,0.000000
0,26.100000,0.080394,0.000000
1,26.100000,0.014568,0.000000
2,26.100000,0.042553,0.000000
3,26.100000,0.059833,0.000000
4,26.100000,0.049282,0.000000
5,26.100000,0.080386,0.000000
6,26.100000,0.049281,0.000000
7,26.100000,0.014567,0.000000
8,26.100000,0.059833,0.000000
9,26.100000,0.059833,0.000000
0,27.100000,0.080395,0.000000
1,27.100000,0.014551,0.000000
2,27.100000,0.042553,0.000000
3,27.100000,0.059833,0.000000
4,27.100000,0.049290,0.000000
5,27.100000,0.080385,0.000000
6,27.100000,0.049290,0.000000
7,27.100000,0.014571,0.000000
8,27.100000,0.059833,0.000000
9,27.100000,0.059833,0.000000
0,28.100000,0.080395,0.000000
1,28.100000,0.014556,0.000000
2,28.100000,0.042553,0.000000
3,28.100000,0.059833,0.000000
4,28.100000,0.049282,0.000000
5,28.100000,0.080385,0.000000
6,28.100000,0.049284,0.000000
7,28.100000,0.014572,0.000000
8,28.100000,0.059833,0.000000
9,28.100000,0.059833,0.000000
0,29.100000,0.080396,0.000000
1,29.100000,0.014566,0.000000
2,29.100000,0.042554,0.000000
3,29.100000,0.059833,0.000000
4,29.100000,0.049296,0.000000
5,29.100000,0.080387,0.000000
6,29.100000,0.049281,0.000000
7,29.100000,0.014561,0.000000
8,29.100000,0.059833,0.000000
9,29.100000,0.059833,0.000000
0,30.100000,0.016102,0.000000
1,30.100000,0.042553,0.000000
2,30.100000,0.059833,0.000000
3,30.100000,0.080385,0.000000
4,30.100000,0.080386,0.000000
5,30.100000,0.014558,0.000000
6,30.100000,0.080386,0.000000
7,30.100000,0.059833,0.000000
8,30.100000,0.014556,0.000000
9,30.100000,0.059833,0.000000
0,31.100000,0.016563,0.000000
1,31.100000,0.042553,0.000000
2,31.100000,0.059834,0.000000
3,31.100000,0.080386,0.000000
4,31.100000,0.080385,0.000000
5,31.100000,0.014565,0.000000
6,31.100000,0.080386,0.000000
7,31.100000,0.059833,0.000000
8,31.100000,0.014572,0.000000
9,31.100000,0.059833,0.000000
0,32.100000,0.016584,0.000000
1,32.100000,0.042553,0.000000
2,32.100000,0.059834,0.000000
3,32.100000,0.080386,0.000000
4,32.100000,0.080386,0.000000
5,32.100000,0.014568,0.000000
6,32.100000,0.080385,0.000000
7,32.100000,0.059833,0.000000
8,32.100000,0.014572,0.000000
9,32.100000,0.059833,0.000000
0,33.100000,0.016898,0.000000
1,33.100000,0.042554,0.000000
2,33.100000,0.059835,0.000000
3,33.100000,0.080385,0.000000
4,33.100000,0.080386,0.000000
5,33.100000,0.014559,0.000000
6,33.100000,0.080386,0.000000
7,33.100000,0.059833,0.000000
8,33.100000,0.014581,0.000000
9,33.100000,0.059833,0.000000
0,34.100000,0.017801,0.000000
1,34.100000,0.042553,0.000000
2,34.100000,0.059835,0.000000
3,34.100000,0.080386,0.000000
4,34.100000,0.080386,0.000000
5,34.100000,0.014569,0.000000
6,34.100000,0.080385,0.000000
7,34.100000,0.059834,0.000000
8,34.100000,0.014582,0.000000
9,34.100000,0.059833,0.000000
0,35.100000,0.019799,0.000000
1,35.100000,0.042554,0.000000
2,35.100000,0.059836,0.000000
3,35.100000,0.080386,0.000000
4,35.100000,0.080386,0.000000
5,35.100000,0.014571,0.000000
6,35.100000,0.080385,0.000000
7,35.100000,0.059833,0.000000
8,35.100000,0.014575,0.000000
9,35.100000,0.059833,0.000000
0,36.100000,0.020549,0.000000
1,36.100000,0.042553,0.000000
2,36.100000,0.059836,0.000000
3,36.100000,0.080386,0.000000
4,36.100000,0.080385,0.000000
5,36.100000,0.014558,0.000000
6,36.100000,0.080387,0.000000
7,36.100000,0.059833,0.000000
8,36.100000,0.014554,0.000000
9,36.100000,0.059833,0.000000
0,37.100000,0.020583,0.000000
1,37.100000,0.042553,0.000000
2,37.100000,0.059837,0.000000
3,37.100000,0.080386,0.000000
4,37.100000,0.080385,0.000000
5,37.100000,0.014554,0.000000
6,37.100000,0.080386,0.000000
7,37.100000,0.059833,0.000000
8,37.100000,0.014560,0.000000
9,37.100000,0.059833,0.000000
0,38.100000,0.021524,0.000000
1,38.100000,0.042553,0.000000
2,38.100000,0.059838,0.000000
3,38.100000,0.080386,0.000000
4,38.100000,0.080386,0.000000
5,38.100000,0.014553,0.000000
6,38.100000,0.080386,0.000000
7,38.100000,0.059833,0.000000
8,38.100000,0.014565,0.000000
9,38.100000,0.059833,0.000000
0,39.100000,0.014745,0.000000
1,39.100000,0.042553,0.000000
2,39.100000,0.059838,0.000000
3,39.100000,0.080387,0.000000
4,39.100000,0.080385,0.000000
5,39.100000,0.014569,0.000000
6,39.100000,0.080386,0.000000
7,39.100000,0.059833,0.000000
8,39.100000,0.014567,0.000000
9,39.100000,0.059833,0.000000
0,40.100000,0.620983,0.000000
1,40.100000,0.049275,0.000000
2,40.100000,0.080370,0.000000
3,40.100000,0.049290,0.000000
4,40.100000,0.014575,0.000000
5,40.100000,0.042553,0.000000
